Sl. No.,Regions,State/UT,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April` 2023 to March 2024 - Col (2),November` 2023 - Program - Col (3),November` 2023 - Actual - Col (4),November` 2023 - Actual Same Month 2022-23 - Col (5),November` 2023 - % of Program  ( 4/3) - Col (6),November` 2023 - % of Last Year  ( 4/5)- Col (7),April` 2023 to November` 2023 - Program - Col (8),April` 2023 to November` 2023 - Actual - Col (9),April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to November` 2023 - % of Program ( 9/8) - Col (11),April` 2023 to November` 2023 - % of Last Year ( 9/10) - Col (12),Plant Load Factor ( %) - November` 2023 - Program - Col (13),Plant Load Factor ( %) - November` 2023 - Actual - Col (14),Plant Load Factor ( %) - November 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor ( %) - April 2023 to November` 2023 - Program - Col (16),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual - Col (17),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (18)
398,Western Region,Gujarat,Central Sector,Total,Nuclear,1140,9014,819,800.32,204.8,97.72,390.78,5692,4722.84,2390.04,82.97,197.61,68.1,97.5,64.65,66.39,91.76,92.76
399,Western Region,Gujarat,Central Sector,Total,Natural Gas,7551.41,4730,383,155.66,237.4,40.64,65.57,3182,5915.8,1420.65,185.91,416.42,NA,NA,NA,NA,NA,NA
400,Western Region,Gujarat,Central Sector,Total,Hydro,1990,4151,281,256.76,282.45,91.37,90.9,2942,3464.04,4905.78,117.74,70.61,NA,NA,NA,NA,NA,NA
401,Western Region,Gujarat,Central Sector,Total,Gujarat,26773.41,77095,6448,7299.36,4985.52,113.2,146.41,51411,63624.08,45830.86,123.76,138.82,NA,NA,NA,NA,NA,NA
402,Western Region,Madhya Pradesh,State Sector,AMARKANTAK EXT TPS,NA,210,1650,138,150.33,150.82,108.93,99.68,1089,1196.33,845.14,109.86,141.55,91.27,99.42,99.75,88.55,97.28,68.72
403,Western Region,Madhya Pradesh,State Sector,SANJAY GANDHI TPS,NA,1340,8550,791,790.6,780.95,99.95,101.24,5360,5436.99,5659.02,101.44,96.08,81.99,81.94,80.94,68.31,69.29,72.12
404,Western Region,Madhya Pradesh,State Sector,SATPURA TPS,NA,1330,3750,326,347.89,360.79,106.71,96.42,2427,2490.91,2532.81,102.63,98.35,34.04,36.33,37.68,31.16,31.98,32.52
405,Western Region,Madhya Pradesh,State Sector,SHREE SINGAJI TPP,NA,2520,13700,1213,1470.77,1173.51,121.25,125.33,8922,9455.05,8062.05,105.97,117.28,66.85,81.06,64.68,60.46,64.07,54.63
406,Western Region,Madhya Pradesh,State Sector,MPPGCL,Coal,5400,27650,2468,2759.59,2466.07,111.81,111.9,17798,18579.28,17099.02,104.39,108.66,63.48,70.98,63.43,56.28,58.75,54.07
407,Western Region,Madhya Pradesh,State Sector,State Sector,Thermal,5400,27650,2468,2759.59,2466.07,111.81,111.9,17798,18579.28,17099.02,104.39,108.66,63.48,70.98,63.43,56.28,58.75,54.07
408,Western Region,Madhya Pradesh,State Sector,BANSAGAR-II HPS,NA,30,90,10,12.78,10.81,127.8,118.22,62,65.08,45.89,104.97,141.82,NA,NA,NA,NA,NA,NA
409,Western Region,Madhya Pradesh,State Sector,BANSAGAR-III HPS,NA,60,98,10,0,8.38,0,0,98,147,124.46,150,118.11,NA,NA,NA,NA,NA,NA
410,Western Region,Madhya Pradesh,State Sector,BANSAGAR TONS-I HPS,NA,315,1000,100,88.01,68.34,88.01,128.78,680,525.27,456.38,77.25,115.09,NA,NA,NA,NA,NA,NA
411,Western Region,Madhya Pradesh,State Sector,BARGI HPS,NA,90,420,25,41.69,39.05,166.76,106.76,280,355.35,320.84,126.91,110.76,NA,NA,NA,NA,NA,NA
412,Western Region,Madhya Pradesh,State Sector,GANDHI SAGAR HPS,NA,115,270,30,35.79,33.21,119.3,107.77,155,142.31,132.62,91.81,107.31,NA,NA,NA,NA,NA,NA
413,Western Region,Madhya Pradesh,State Sector,MADHIKHERA HPS,NA,60,116,15,5.61,4.11,37.38,136.42,85,39.36,118.96,46.31,33.09,NA,NA,NA,NA,NA,NA
414,Western Region,Madhya Pradesh,State Sector,RAJGHAT HPS,NA,45,88,12,5.41,0,45.08,0,63,59.54,86.54,94.51,68.8,NA,NA,NA,NA,NA,NA
415,Western Region,Madhya Pradesh,State Sector,MPPGCL,Hydro,715,2082,202,189.29,163.9,93.71,115.49,1423,1333.91,1285.69,93.74,103.75,NA,NA,NA,NA,NA,NA
416,Western Region,Madhya Pradesh,State Sector,State Sector,Hydro,715,2082,202,189.29,163.9,93.71,115.49,1423,1333.91,1285.69,93.74,103.75,NA,NA,NA,NA,NA,NA
417,Western Region,Madhya Pradesh,Pvt Sector,NIWARI TPP,NA,90,600,52,41.96,30.58,80.69,137.21,390,358.23,162.95,91.85,219.84,80.25,64.75,47.19,74,67.97,30.92
418,Western Region,Madhya Pradesh,Pvt Sector,BLAPPL,Coal,90,600,52,41.96,30.58,80.69,137.21,390,358.23,162.95,91.85,219.84,80.25,64.75,47.19,74,67.97,30.92
419,Western Region,Madhya Pradesh,Pvt Sector,MAHAN TPP,NA,1200,6000,518,491.51,182.35,94.89,269.54,3942,4278.59,2252.49,108.54,189.95,59.95,56.89,21.11,56.1,60.89,32.05
420,Western Region,Madhya Pradesh,Pvt Sector,ESSARPMPL,Coal,1200,6000,518,491.51,182.35,94.89,269.54,3942,4278.59,2252.49,108.54,189.95,59.95,56.89,21.11,56.1,60.89,32.05
421,Western Region,Madhya Pradesh,Pvt Sector,BINA TPS,NA,500,3350,289,283.46,161.11,98.08,175.94,2158,2131.27,1831.79,98.76,116.35,80.28,78.74,44.75,73.7,72.79,62.56
422,Western Region,Madhya Pradesh,Pvt Sector,NIGRI TPP,NA,1320,9100,786,800.62,480.85,101.86,166.5,5964,6475.64,6017.69,108.58,107.61,82.7,84.24,50.59,77.15,83.77,77.85
423,Western Region,Madhya Pradesh,Pvt Sector,JPPVL,Coal,1820,12450,1075,1084.08,641.96,100.84,168.87,8122,8606.91,7849.48,105.97,109.65,82.04,82.73,48.99,76.21,80.76,73.65
424,Western Region,Madhya Pradesh,Pvt Sector,ANUPPUR TPP,NA,1250,8000,686,617.26,614.13,89.98,100.51,5534,5916.1,5040.07,106.9,117.38,79.4,68.58,68.24,78.75,80.82,68.85
425,Western Region,Madhya Pradesh,Pvt Sector,MBPMPL,Coal,1250,8000,686,617.26,614.13,89.98,100.51,5534,5916.1,5040.07,106.9,117.38,79.4,68.58,68.24,78.75,80.82,68.85
426,Western Region,Madhya Pradesh,Pvt Sector,SASAN UMTPP,NA,3960,32400,2734,2848.95,2275.16,104.2,125.22,21282,21245.88,20370.34,99.83,104.3,95.89,99.92,79.8,91.77,91.62,87.84
427,Western Region,Madhya Pradesh,Pvt Sector,SPL,Coal,3960,32400,2734,2848.95,2275.16,104.2,125.22,21282,21245.88,20370.34,99.83,104.3,95.89,99.92,79.8,91.77,91.62,87.84
428,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Thermal,8320,59450,5065,5083.76,3744.18,100.37,135.78,39270,40405.71,35675.33,102.89,113.26,85.09,84.87,62.5,81.13,82.93,73.22
429,Western Region,Madhya Pradesh,Pvt Sector,MAHESHWAR HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
430,Western Region,Madhya Pradesh,Pvt Sector,SMHPCL,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
431,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
432,Western Region,Madhya Pradesh,Central Sector,SEIONI TPP,NA,600,3800,322,239.3,296.7,74.32,80.65,2660,2314.83,2556.79,87.02,90.54,74.54,55.39,68.68,75.71,65.88,72.77
433,Western Region,Madhya Pradesh,Central Sector,JHAPL,Coal,600,3800,322,239.3,296.7,74.32,80.65,2660,2314.83,2556.79,87.02,90.54,74.54,55.39,68.68,75.71,65.88,72.77
434,Western Region,Madhya Pradesh,Central Sector,GADARWARA TPP,NA,1600,10500,420,779.12,865.49,185.5,90.02,6873,6315.48,6159.92,91.89,102.53,36.46,67.63,75.13,73.35,67.4,65.74
435,Western Region,Madhya Pradesh,Central Sector,KHARGONE STPP,NA,1320,8500,771,718.39,435.02,93.18,165.14,5872,4942.11,3499.72,84.16,141.21,81.12,75.59,45.77,75.96,63.93,45.27
436,Western Region,Madhya Pradesh,Central Sector,VINDHYACHAL STPS,NA,4760,38500,3282,3246.04,3237.19,98.9,100.27,25504,24718.1,24998.2,96.92,98.88,95.76,94.71,94.46,91.5,88.68,89.68
437,Western Region,Madhya Pradesh,Central Sector,NTPC Ltd.,Coal,7680,57500,4473,4743.55,4537.7,106.05,104.54,38249,35975.69,34657.84,94.06,103.8,80.89,85.78,82.06,85.05,79.99,77.06
438,Western Region,Madhya Pradesh,Central Sector,Central,Thermal,8280,61300,4795,4982.85,4834.4,103.92,103.07,40909,38290.52,37214.63,93.6,102.89,80.43,83.58,81.09,84.37,78.97,76.75
439,Western Region,Madhya Pradesh,Central Sector,INDIRA SAGAR HPS,NA,1000,2150,133,175.42,163.88,131.89,107.04,1563,2417.89,2822.2,154.7,85.67,NA,NA,NA,NA,NA,NA
440,Western Region,Madhya Pradesh,Central Sector,OMKARESHWAR HPS,NA,520,1115,76,81.47,74.71,107.2,109.05,796,1199.41,1378.97,150.68,86.98,NA,NA,NA,NA,NA,NA
441,Western Region,Madhya Pradesh,Central Sector,NHDC,Hydro,1520,3265,209,256.89,238.59,122.91,107.67,2359,3617.3,4201.17,153.34,86.1,NA,NA,NA,NA,NA,NA
442,Western Region,Madhya Pradesh,Central Sector,Central,Hydro,1520,3265,209,256.89,238.59,122.91,107.67,2359,3617.3,4201.17,153.34,86.1,NA,NA,NA,NA,NA,NA
443,Western Region,Madhya Pradesh,Central Sector,Total,Thermal,22000,148400,12328,12826.2,11044.65,104.04,116.13,97977,97275.51,89988.98,99.28,108.1,78,80.97,69.73,76.23,75.51,69.85
444,Western Region,Madhya Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
445,Western Region,Madhya Pradesh,Central Sector,Total,Hydro,2235,5347,411,446.18,402.49,108.56,110.85,3782,4951.21,5486.86,130.92,90.24,NA,NA,NA,NA,NA,NA
446,Western Region,Madhya Pradesh,Central Sector,Total,Madhya Pradesh,24235,153747,12739,13272.38,11447.14,104.19,115.94,101759,102226.72,95475.84,100.46,107.07,NA,NA,NA,NA,NA,NA
447,Western Region,Maharashtra,State Sector,BHUSAWAL TPS,NA,1210,8600,747,560.71,525.37,75.06,106.73,5482,5117.93,4185.16,93.36,122.29,67.38,64.36,60.3,66.08,72.23,59.06
448,Western Region,Maharashtra,State Sector,CHANDRAPUR (MAHARASHTRA) STPS,NA,2920,18600,1605,1543.29,1258.51,96.16,122.63,11961,10607.52,10013.06,88.68,105.94,76.34,73.41,59.86,69.95,62.03,58.56
449,Western Region,Maharashtra,State Sector,KHAPARKHEDA TPS,NA,1340,7500,629,655.23,617.75,104.17,106.07,4968,5325.99,5071.35,107.21,105.02,65.19,67.91,64.03,63.31,67.87,64.63
450,Western Region,Maharashtra,State Sector,KORADI TPS,NA,2190,11650,1020,1219.76,1149.99,119.58,106.07,7538,8120.55,7420.73,107.73,109.43,64.69,77.36,72.93,58.78,63.32,57.86
451,Western Region,Maharashtra,State Sector,NASIK TPS,NA,630,3000,249,198.87,178.97,79.87,111.12,1992,1839.67,1724.61,92.35,106.67,54.89,43.84,39.46,53.99,49.87,46.75
452,Western Region,Maharashtra,State Sector,PARAS TPS,NA,500,3200,262,325.35,244.97,124.18,132.81,2096,2279.16,1907.37,108.74,119.49,72.78,90.38,68.05,71.58,77.84,65.14
453,Western Region,Maharashtra,State Sector,PARLI TPS,NA,750,3600,306,403.38,327.24,131.82,123.27,2387,2788.67,2632.99,116.83,105.91,56.67,74.7,60.6,54.35,63.49,59.95
454,Western Region,Maharashtra,State Sector,MAHAGENCO,Coal,9540,56150,4818,4906.59,4302.8,101.84,114.03,36424,36079.49,32955.27,99.05,109.48,67.81,71.43,62.64,63.77,64.58,58.99
455,Western Region,Maharashtra,State Sector,State Sector,Thermal,9540,56150,4818,4906.59,4302.8,101.84,114.03,36424,36079.49,32955.27,99.05,109.48,67.81,71.43,62.64,63.77,64.58,58.99
456,Western Region,Maharashtra,State Sector,URAN CCPP,NA,672,2100,165,171.35,88.87,103.85,192.81,1418,946.04,986.95,66.72,95.85,NA,NA,NA,NA,NA,NA
457,Western Region,Maharashtra,State Sector,MAHAGENCO,Natural Gas,672,2100,165,171.35,88.87,103.85,192.81,1418,946.04,986.95,66.72,95.85,NA,NA,NA,NA,NA,NA
458,Western Region,Maharashtra,State Sector,State Sector,Natural Gas,672,2100,165,171.35,88.87,103.85,192.81,1418,946.04,986.95,66.72,95.85,NA,NA,NA,NA,NA,NA
459,Western Region,Maharashtra,State Sector,BHIRA TAIL RACE HPS,NA,80,85,7,2.62,5.17,37.43,50.68,63,75.31,69.5,119.54,108.36,NA,NA,NA,NA,NA,NA
460,Western Region,Maharashtra,State Sector,GHATGHAR PSS HPS,NA,250,384,18,8.84,8.07,49.11,109.54,264,39.68,48.92,15.03,81.11,NA,NA,NA,NA,NA,NA
461,Western Region,Maharashtra,State Sector,KOYNA DPH HPS,NA,36,130,8,10.76,11.11,134.5,96.85,85,88.96,99.36,104.66,89.53,NA,NA,NA,NA,NA,NA
462,Western Region,Maharashtra,State Sector,KOYNA-I&II HPS,NA,600,800,52,56.2,75.44,108.08,74.5,533,753.99,795.05,141.46,94.84,NA,NA,NA,NA,NA,NA
463,Western Region,Maharashtra,State Sector,KOYNA-III HPS,NA,320,568,43,18.82,31.44,43.77,59.86,392,443.22,646.43,113.07,68.56,NA,NA,NA,NA,NA,NA
464,Western Region,Maharashtra,State Sector,KOYNA-IV HPS,NA,1000,1667,135,23.98,67.06,17.76,35.76,1052,1116.08,770.18,106.09,144.91,NA,NA,NA,NA,NA,NA
465,Western Region,Maharashtra,State Sector,TILLARI HPS,NA,60,110,11,0,9.03,0,0,66,23.26,85.57,35.24,27.18,NA,NA,NA,NA,NA,NA
466,Western Region,Maharashtra,State Sector,VAITARNA HPS,NA,60,144,0,0,0,0,0,66,107.71,110.7,163.2,97.3,NA,NA,NA,NA,NA,NA
467,Western Region,Maharashtra,State Sector,MAHAGENCO,Hydro,2406,3888,274,121.22,207.32,44.24,58.47,2521,2648.21,2625.71,105.05,100.86,NA,NA,NA,NA,NA,NA
468,Western Region,Maharashtra,State Sector,PENCH HPS,NA,160,325,30,46.94,37.89,156.47,123.88,243,296.89,269.49,122.18,110.17,NA,NA,NA,NA,NA,NA
469,Western Region,Maharashtra,State Sector,MPPGCL,Hydro,160,325,30,46.94,37.89,156.47,123.88,243,296.89,269.49,122.18,110.17,NA,NA,NA,NA,NA,NA
470,Western Region,Maharashtra,State Sector,State Sector,Hydro,2566,4213,304,168.16,245.21,55.32,68.58,2764,2945.1,2895.2,106.55,101.72,NA,NA,NA,NA,NA,NA
471,Western Region,Maharashtra,Pvt Sector,DAHANU TPS,NA,500,3800,335,238.34,269.73,71.15,88.36,2674,2250.5,2302.49,84.16,97.74,93.06,66.21,74.93,91.33,76.86,78.64
472,Western Region,Maharashtra,Pvt Sector,AEML,Coal,500,3800,335,238.34,269.73,71.15,88.36,2674,2250.5,2302.49,84.16,97.74,93.06,66.21,74.93,91.33,76.86,78.64
473,Western Region,Maharashtra,Pvt Sector,MIHAN TPS,NA,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Western Region,Maharashtra,Pvt Sector,AMNEPL,Coal,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,Western Region,Maharashtra,Pvt Sector,ADANI POWER LIMITED TIRODA TPP,NA,3300,23800,2076,1294.85,2021.57,62.37,64.05,15802,14161.07,14857.28,89.62,95.31,87.37,54.5,85.08,81.77,73.28,76.88
476,Western Region,Maharashtra,Pvt Sector,APL,Coal,3300,23800,2076,1294.85,2021.57,62.37,64.05,15802,14161.07,14857.28,89.62,95.31,87.37,54.5,85.08,81.77,73.28,76.88
477,Western Region,Maharashtra,Pvt Sector,DHARIWAL TPP,NA,600,3700,266,347.98,340.18,130.82,102.29,2526,3029.34,2807.28,119.93,107.91,61.57,80.55,78.75,71.89,86.22,79.9
478,Western Region,Maharashtra,Pvt Sector,DIL,Coal,600,3700,266,347.98,340.18,130.82,102.29,2526,3029.34,2807.28,119.93,107.91,61.57,80.55,78.75,71.89,86.22,79.9
479,Western Region,Maharashtra,Pvt Sector,GEPL TPP Ph-I,NA,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Western Region,Maharashtra,Pvt Sector,GEPL,Coal,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Western Region,Maharashtra,Pvt Sector,GMR WARORA TPS,NA,600,4200,384,341.74,398.24,88.99,85.81,2843,2921.6,2749.78,102.76,106.25,88.89,79.11,92.19,80.91,83.15,78.26
482,Western Region,Maharashtra,Pvt Sector,GMR ENERG,Coal,600,4200,384,341.74,398.24,88.99,85.81,2843,2921.6,2749.78,102.76,106.25,88.89,79.11,92.19,80.91,83.15,78.26
483,Western Region,Maharashtra,Pvt Sector,BELA TPS,NA,270,1000,83,153,109.17,184.34,140.15,688,1152.51,212.43,167.52,542.54,42.7,78.7,56.16,43.51,72.89,13.44
484,Western Region,Maharashtra,Pvt Sector,IEPL,Coal,270,1000,83,153,109.17,184.34,140.15,688,1152.51,212.43,167.52,542.54,42.7,78.7,56.16,43.51,72.89,13.44
485,Western Region,Maharashtra,Pvt Sector,JSW RATNAGIRI TPP,NA,300,1000,87,158.6,0,182.3,0,715,1290.75,218.67,180.52,590.27,40.28,73.43,0,40.7,73.47,12.45
486,Western Region,Maharashtra,Pvt Sector,JSWEL,Coal,300,1000,87,158.6,0,182.3,0,715,1290.75,218.67,180.52,590.27,40.28,73.43,0,40.7,73.47,12.45
487,Western Region,Maharashtra,Pvt Sector,LANCO VIDARBHA TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Western Region,Maharashtra,Pvt Sector,LVTPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Western Region,Maharashtra,Pvt Sector,AMRAVATI TPS,NA,1350,8550,751,736.18,830.64,98.03,88.63,5531,6309.47,5712.81,114.07,110.44,77.26,75.74,85.46,69.96,79.81,72.26
490,Western Region,Maharashtra,Pvt Sector,RATTANINDIA,Coal,1350,8550,751,736.18,830.64,98.03,88.63,5531,6309.47,5712.81,114.07,110.44,77.26,75.74,85.46,69.96,79.81,72.26
491,Western Region,Maharashtra,Pvt Sector,SHIRPUR TPP,NA,150,0,0,4.65,0,0,0,0,69.4,0,0,0,0,4.31,0,0,7.9,0
492,Western Region,Maharashtra,Pvt Sector,SPPL,Coal,150,0,0,4.65,0,0,0,0,69.4,0,0,0,0,4.31,0,0,7.9,0
493,Western Region,Maharashtra,Pvt Sector,NASIK (P) TPS,NA,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Western Region,Maharashtra,Pvt Sector,STPL,Coal,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,Western Region,Maharashtra,Pvt Sector,TROMBAY TPS,NA,750,3700,298,348.47,325.64,116.94,107.01,2567,2844.32,2977.59,110.8,95.52,55.19,64.53,60.3,58.45,64.76,67.8
496,Western Region,Maharashtra,Pvt Sector,TATA PCL,Coal,750,3700,298,348.47,325.64,116.94,107.01,2567,2844.32,2977.59,110.8,95.52,55.19,64.53,60.3,58.45,64.76,67.8
497,Western Region,Maharashtra,Pvt Sector,BUTIBORI TPP,NA,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Western Region,Maharashtra,Pvt Sector,VIP,Coal,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Western Region,Maharashtra,Pvt Sector,WARDHA WARORA TPP,NA,540,2600,220,309.72,224.76,140.78,137.8,1728,2424.98,1730.59,140.33,140.12,56.58,79.66,57.81,54.64,76.69,54.73
500,Western Region,Maharashtra,Pvt Sector,WPCL,Coal,540,2600,220,309.72,224.76,140.78,137.8,1728,2424.98,1730.59,140.33,140.12,56.58,79.66,57.81,54.64,76.69,54.73
501,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Thermal,10676,52350,4500,3933.53,4519.93,87.41,87.03,35074,36453.94,33568.92,103.93,108.59,58.54,51.17,58.8,56.1,58.31,53.69
502,Western Region,Maharashtra,Pvt Sector,MANGAON CCPP,NA,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
503,Western Region,Maharashtra,Pvt Sector,PGPL,Natural Gas,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
504,Western Region,Maharashtra,Pvt Sector,TROMBAY CCPP,NA,180,500,41,70.9,16.54,172.93,428.66,338,625.3,379.42,185,164.8,NA,NA,NA,NA,NA,NA
505,Western Region,Maharashtra,Pvt Sector,TATA PCL,Natural Gas,180,500,41,70.9,16.54,172.93,428.66,338,625.3,379.42,185,164.8,NA,NA,NA,NA,NA,NA
506,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Natural Gas,568,500,41,70.9,16.54,172.93,428.66,338,625.3,379.42,185,164.8,NA,NA,NA,NA,NA,NA
507,Western Region,Maharashtra,Pvt Sector,BHANDARDHARA HPS ST-II,NA,34,36,0,0,0,0,0,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
508,Western Region,Maharashtra,Pvt Sector,DLHP,Hydro,34,36,0,0,0,0,0,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
509,Western Region,Maharashtra,Pvt Sector,BHIRA HPS,NA,150,452,30,25.5,23.81,85,107.1,318,332.93,292.34,104.69,113.88,NA,NA,NA,NA,NA,NA
510,Western Region,Maharashtra,Pvt Sector,BHIRA PSS HPS,NA,150,448,30,13.11,28.37,43.7,46.21,316,393.77,402.75,124.61,97.77,NA,NA,NA,NA,NA,NA
511,Western Region,Maharashtra,Pvt Sector,BHIVPURI HPS,NA,75,285,26,28.9,31.89,111.15,90.62,160,173.59,196.99,108.49,88.12,NA,NA,NA,NA,NA,NA
512,Western Region,Maharashtra,Pvt Sector,KHOPOLI HPS,NA,72,285,20,14.77,19.97,73.85,73.96,200,195.92,219.92,97.96,89.09,NA,NA,NA,NA,NA,NA
513,Western Region,Maharashtra,Pvt Sector,TATA MAH.,Hydro,447,1470,106,82.28,104.04,77.62,79.08,994,1096.21,1112,110.28,98.58,NA,NA,NA,NA,NA,NA
514,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Hydro,481,1506,106,82.28,104.04,77.62,79.08,1017,1115.46,1128.34,109.68,98.86,NA,NA,NA,NA,NA,NA
515,Western Region,Maharashtra,Central Sector,MAUDA TPS,NA,2320,15600,1014,976.15,1026.9,96.27,95.06,10523,9630.41,9368.33,91.52,102.8,60.7,58.44,61.48,77.46,70.89,68.96
516,Western Region,Maharashtra,Central Sector,SOLAPUR STPS,NA,1320,6900,577,631.78,405.74,109.49,155.71,4583,4926.64,3468.47,107.5,142.04,60.71,66.48,42.69,59.29,63.73,44.87
517,Western Region,Maharashtra,Central Sector,NTPC Ltd.,Coal,3640,22500,1591,1607.93,1432.64,101.06,112.24,15106,14557.05,12836.8,96.37,113.4,60.71,61.35,54.66,70.87,68.29,60.22
518,Western Region,Maharashtra,Central Sector,Central,Thermal,3640,22500,1591,1607.93,1432.64,101.06,112.24,15106,14557.05,12836.8,96.37,113.4,60.71,61.35,54.66,70.87,68.29,60.22
519,Western Region,Maharashtra,Central Sector,RATNAGIRI CCPP,NA,1967.08,1050,91,0.9,0,0.99,0,672,835.07,302.88,124.27,275.71,NA,NA,NA,NA,NA,NA
520,Western Region,Maharashtra,Central Sector,RGPPL,Natural Gas,1967.08,1050,91,0.9,0,0.99,0,672,835.07,302.88,124.27,275.71,NA,NA,NA,NA,NA,NA
521,Western Region,Maharashtra,Central Sector,Central,Natural Gas,1967.08,1050,91,0.9,0,0.99,0,672,835.07,302.88,124.27,275.71,NA,NA,NA,NA,NA,NA
522,Western Region,Maharashtra,Central Sector,TARAPUR,NA,1400,8151,750,779.31,719.55,103.91,108.31,5302,5755.52,6186.63,108.55,93.03,74.4,77.31,71.38,64.67,70.2,75.46
523,Western Region,Maharashtra,Central Sector,NPCIL,Nuclear,1400,8151,750,779.31,719.55,103.91,108.31,5302,5755.52,6186.63,108.55,93.03,74.4,77.31,71.38,64.67,70.2,75.46
524,Western Region,Maharashtra,Central Sector,Central,Nuclear,1400,8151,750,779.31,719.55,103.91,108.31,5302,5755.52,6186.63,108.55,93.03,74.4,77.31,71.38,64.67,70.2,75.46
525,Western Region,Maharashtra,Central Sector,Total,Thermal,23856,131000,10909,10448.05,10255.37,95.77,101.88,86604,87090.48,79360.99,100.56,109.74,62.58,60.83,59.71,61.42,62.34,56.81
526,Western Region,Maharashtra,Central Sector,Total,Nuclear,1400,8151,750,779.31,719.55,103.91,108.31,5302,5755.52,6186.63,108.55,93.03,74.4,77.31,71.38,64.67,70.2,75.46
527,Western Region,Maharashtra,Central Sector,Total,Natural Gas,3207.08,3650,297,243.15,105.41,81.87,230.67,2428,2406.41,1669.25,99.11,144.16,NA,NA,NA,NA,NA,NA
528,Western Region,Maharashtra,Central Sector,Total,Hydro,3047,5719,410,250.44,349.25,61.08,71.71,3781,4060.56,4023.54,107.39,100.92,NA,NA,NA,NA,NA,NA
529,Western Region,Maharashtra,Central Sector,Total,Maharashtra,31510.08,148520,12366,11720.95,11429.58,94.78,102.55,98115,99312.97,91240.41,101.22,108.85,NA,NA,NA,NA,NA,NA
530,Southern Region,Andhra Pradesh,State Sector,Dr. N.TATA RAO TPS,NA,1760,13500,1076,900.68,799.92,83.71,112.6,8410,7744.61,7040.43,92.09,110,58.38,71.08,63.13,56.1,75.14,68.31
531,Southern Region,Andhra Pradesh,State Sector,RAYALASEEMA TPS,NA,1650,9500,808,851.72,608.46,105.41,139.98,6383,6881.91,5841.42,107.82,117.81,68.01,71.69,51.22,66.06,71.22,60.46
532,Southern Region,Andhra Pradesh,State Sector,APGENCO,Coal,3410,23000,1884,1752.4,1408.38,93.01,124.43,14793,14626.52,12881.85,98.87,113.54,62.15,71.38,57.36,60,73.25,64.51
533,Southern Region,Andhra Pradesh,State Sector,DAMODARAM SANJEEVAIAH TPS,NA,2400,9000,607,679.82,448.3,112,151.64,6134,6566.11,3910.02,107.04,167.93,35.13,25.08,38.91,43.64,48.21,41.73
534,Southern Region,Andhra Pradesh,State Sector,APPDCL,Coal,2400,9000,607,679.82,448.3,112,151.64,6134,6566.11,3910.02,107.04,167.93,35.13,25.08,38.91,43.64,48.21,41.73
535,Southern Region,Andhra Pradesh,State Sector,State Sector,Thermal,5810,32000,2491,2432.22,1856.68,97.64,131,20927,21192.63,16791.87,101.27,126.21,52.34,56.59,51.47,54.06,65.25,57.23
536,Southern Region,Andhra Pradesh,State Sector,JEGURUPADU CCPP PH I,NA,235.4,200,16,0,0.18,0,0,136,0,244.66,0,0,NA,NA,NA,NA,NA,NA
537,Southern Region,Andhra Pradesh,State Sector,APEPDCL,Natural Gas,235.4,200,16,0,0.18,0,0,136,0,244.66,0,0,NA,NA,NA,NA,NA,NA
