Sl. No.,Regions,State/UT,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April` 2023 to March 2024 - Col (2),November` 2023 - Program - Col (3),November` 2023 - Actual - Col (4),November` 2023 - Actual Same Month 2022-23 - Col (5),November` 2023 - % of Program  ( 4/3) - Col (6),November` 2023 - % of Last Year  ( 4/5)- Col (7),April` 2023 to November` 2023 - Program - Col (8),April` 2023 to November` 2023 - Actual - Col (9),April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to November` 2023 - % of Program ( 9/8) - Col (11),April` 2023 to November` 2023 - % of Last Year ( 9/10) - Col (12),Plant Load Factor ( %) - November` 2023 - Program - Col (13),Plant Load Factor ( %) - November` 2023 - Actual - Col (14),Plant Load Factor ( %) - November 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor ( %) - April 2023 to November` 2023 - Program - Col (16),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual - Col (17),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (18)
64,Northern Region,Himachal Pradesh,Central Sector,DEHAR HPS,NA,990,3000,110,125.12,146.1,113.75,85.64,2600,2382.67,2621.53,91.64,90.89,NA,NA,NA,NA,NA,NA
65,Northern Region,Himachal Pradesh,Central Sector,PONG HPS,NA,396,1100,90,127.24,179.41,141.38,70.92,800,1193.4,1001.77,149.18,119.13,NA,NA,NA,NA,NA,NA
66,Northern Region,Himachal Pradesh,Central Sector,BBMB,Hydro,2783,8700,570,640.74,645.61,112.41,99.25,6895,7918.1,7040.15,114.84,112.47,NA,NA,NA,NA,NA,NA
67,Northern Region,Himachal Pradesh,Central Sector,BAIRA SIUL HPS,NA,180,692,27,17.68,28.51,65.48,62.01,608,427.53,474.51,70.32,90.1,NA,NA,NA,NA,NA,NA
68,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-I HPS,NA,540,2224,67,57.95,59.17,86.49,97.94,1892,1892.32,1668.36,100.02,113.42,NA,NA,NA,NA,NA,NA
69,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-II HPS,NA,300,1433,41,45.5,50.75,110.98,89.66,1211,1048.92,1169.3,86.62,89.7,NA,NA,NA,NA,NA,NA
70,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-III HPS,NA,231,1063,48,10.44,40.52,21.75,25.77,943,765.66,893.81,81.19,85.66,NA,NA,NA,NA,NA,NA
71,Northern Region,Himachal Pradesh,Central Sector,PARBATI-II HPS,NA,0,285,0,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA
72,Northern Region,Himachal Pradesh,Central Sector,PARBATI-III HPS,NA,520,809,23,18.6,22.32,80.87,83.33,613,276.11,604.9,45.04,45.65,NA,NA,NA,NA,NA,NA
73,Northern Region,Himachal Pradesh,Central Sector,NHPC,Hydro,1771,6506,206,150.17,201.27,72.9,74.61,5277,4410.54,4810.88,83.58,91.68,NA,NA,NA,NA,NA,NA
74,Northern Region,Himachal Pradesh,Central Sector,KOLDAM,NA,800,3100,84,112.93,124.7,134.44,90.56,2781,2622.93,2797.68,94.32,93.75,NA,NA,NA,NA,NA,NA
