Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),October` 2023 - Program - Col (3),October` 2023 - Actual - Col (4),October` 2023 - Actual Same Month 2022-23 - Col (5),October` 2023 - % of Program Col. (4/3) - Col (6),October` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to October` 2023 - Program - Col (8),April` 2023 to October` 2023 - Actual - Col (9),April` 2023 to October` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to October` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to October` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - October` 2023 - Program - Col (13),Plant Load Factor (%) - October` 2023 - Actual - Col (14),Plant Load Factor (%) - October` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to October` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual Same Peroid 2022-23 - Col (18)
399,Western Region,Gujarat,Central Sector,Total,Natural Gas,7551.41,4730,401,987.41,59.47,246.24,1660.35,2799,5760.14,1183.25,205.79,486.81,NA,NA,NA,NA,NA,NA
400,Western Region,Gujarat,Central Sector,Total,Hydro,1990,4151,457,609.01,1019.05,133.26,59.76,2661,3207.28,4623.33,120.53,69.37,NA,NA,NA,NA,NA,NA
401,Western Region,Gujarat,Central Sector,Total,Gujarat,26773.41,77095,6154,10673.35,5327.19,173.44,200.36,44963,56324.72,40845.34,125.27,137.9,NA,NA,NA,NA,NA,NA
402,Western Region,Madhya Pradesh,State Sector,AMARKANTAK EXT TPS,NA,210,1650,126,156.77,47.8,124.42,327.97,951,1046,694.32,109.99,150.65,80.65,100.34,30.59,88.17,96.98,64.37
403,Western Region,Madhya Pradesh,State Sector,SANJAY GANDHI TPS,NA,1340,8550,751,678.39,765.74,90.33,88.59,4569,4646.39,4878.07,101.69,95.25,75.33,68.05,76.81,66.39,67.51,70.88
404,Western Region,Madhya Pradesh,State Sector,SATPURA TPS,NA,1330,3750,318,325.51,265.45,102.36,122.63,2101,2143.02,2172.02,102,98.66,32.14,32.9,26.83,30.76,31.37,31.8
405,Western Region,Madhya Pradesh,State Sector,SHREE SINGAJI TPP,NA,2520,13700,1114,1251.66,772.39,112.36,162.05,7709,7984.28,6888.54,103.57,115.91,59.42,66.76,41.2,59.56,61.69,53.22
406,Western Region,Madhya Pradesh,State Sector,MPPGCL,Coal,5400,27650,2309,2412.33,1851.38,104.48,130.3,15330,15819.69,14632.95,103.19,108.11,57.47,60.04,46.08,55.27,57.04,52.76
407,Western Region,Madhya Pradesh,State Sector,State Sector,Thermal,5400,27650,2309,2412.33,1851.38,104.48,130.3,15330,15819.69,14632.95,103.19,108.11,57.47,60.04,46.08,55.27,57.04,52.76
408,Western Region,Madhya Pradesh,State Sector,BANSAGAR-II HPS,NA,30,90,10,10.96,10.59,109.6,103.49,52,52.3,35.08,100.58,149.09,NA,NA,NA,NA,NA,NA
409,Western Region,Madhya Pradesh,State Sector,BANSAGAR-III HPS,NA,60,98,30,25.75,26.2,85.83,98.28,88,147,116.08,167.05,126.64,NA,NA,NA,NA,NA,NA
410,Western Region,Madhya Pradesh,State Sector,BANSAGAR TONS-I HPS,NA,315,1000,100,88.67,72.89,88.67,121.65,580,437.26,388.04,75.39,112.68,NA,NA,NA,NA,NA,NA
411,Western Region,Madhya Pradesh,State Sector,BARGI HPS,NA,90,420,50,58.75,63.91,117.5,91.93,255,313.66,281.79,123,111.31,NA,NA,NA,NA,NA,NA
412,Western Region,Madhya Pradesh,State Sector,GANDHI SAGAR HPS,NA,115,270,30,7.81,29.04,26.03,26.89,125,106.52,99.4,85.22,107.16,NA,NA,NA,NA,NA,NA
413,Western Region,Madhya Pradesh,State Sector,MADHIKHERA HPS,NA,60,116,20,8.78,20.49,43.9,42.85,70,33.75,114.85,48.21,29.39,NA,NA,NA,NA,NA,NA
414,Western Region,Madhya Pradesh,State Sector,RAJGHAT HPS,NA,45,88,17,2.4,20.26,14.12,11.85,51,54.13,86.54,106.14,62.55,NA,NA,NA,NA,NA,NA
415,Western Region,Madhya Pradesh,State Sector,MPPGCL,Hydro,715,2082,257,203.12,243.38,79.04,83.46,1221,1144.62,1121.78,93.74,102.04,NA,NA,NA,NA,NA,NA
416,Western Region,Madhya Pradesh,State Sector,State Sector,Hydro,715,2082,257,203.12,243.38,79.04,83.46,1221,1144.62,1121.78,93.74,102.04,NA,NA,NA,NA,NA,NA
417,Western Region,Madhya Pradesh,Pvt Sector,NIWARI TPP,NA,90,600,46,42.39,26.3,92.15,161.18,338,316.27,132.37,93.57,238.93,68.7,63.31,39.28,73.12,68.42,28.64
418,Western Region,Madhya Pradesh,Pvt Sector,BLAPPL,Coal,90,600,46,42.39,26.3,92.15,161.18,338,316.27,132.37,93.57,238.93,68.7,63.31,39.28,73.12,68.42,28.64
419,Western Region,Madhya Pradesh,Pvt Sector,MAHAN TPP,NA,1200,6000,476,678.2,143.87,142.48,471.4,3424,3787.08,2070.14,110.6,182.94,53.32,75.96,16.11,55.56,61.45,33.59
420,Western Region,Madhya Pradesh,Pvt Sector,ESSARPMPL,Coal,1200,6000,476,678.2,143.87,142.48,471.4,3424,3787.08,2070.14,110.6,182.94,53.32,75.96,16.11,55.56,61.45,33.59
421,Western Region,Madhya Pradesh,Pvt Sector,BINA TPS,NA,500,3350,266,336.55,162.04,126.52,207.7,1869,1847.81,1670.68,98.87,110.6,71.51,90.47,43.56,72.78,71.96,65.06
422,Western Region,Madhya Pradesh,Pvt Sector,NIGRI TPP,NA,1320,9100,722,966.21,607.54,133.82,159.04,5178,5675.02,5536.84,109.6,102.5,73.52,98.38,61.86,76.38,83.71,81.67
423,Western Region,Madhya Pradesh,Pvt Sector,JPPVL,Coal,1820,12450,988,1302.76,769.58,131.86,169.28,7047,7522.83,7207.52,106.75,104.37,72.96,96.21,56.83,75.39,80.48,77.11
424,Western Region,Madhya Pradesh,Pvt Sector,ANUPPUR TPP,NA,1250,8000,630,714.69,439.21,113.44,162.72,4848,5298.84,4425.94,109.3,119.72,70.56,76.85,47.23,78.66,82.54,68.94
425,Western Region,Madhya Pradesh,Pvt Sector,MBPMPL,Coal,1250,8000,630,714.69,439.21,113.44,162.72,4848,5298.84,4425.94,109.3,119.72,70.56,76.85,47.23,78.66,82.54,68.94
426,Western Region,Madhya Pradesh,Pvt Sector,SASAN UMTPP,NA,3960,32400,2818,2634.96,2329.84,93.5,113.1,18548,18396.93,18095.18,99.19,101.67,95.65,89.43,79.08,91.2,90.45,88.97
427,Western Region,Madhya Pradesh,Pvt Sector,SPL,Coal,3960,32400,2818,2634.96,2329.84,93.5,113.1,18548,18396.93,18095.18,99.19,101.67,95.65,89.43,79.08,91.2,90.45,88.97
428,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Thermal,8320,59450,4958,5373,3708.8,108.37,144.87,34205,35321.95,31931.15,103.27,110.62,80.65,86.8,59.92,80.57,82.66,74.73
429,Western Region,Madhya Pradesh,Pvt Sector,MAHESHWAR HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
430,Western Region,Madhya Pradesh,Pvt Sector,SMHPCL,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
431,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
432,Western Region,Madhya Pradesh,Central Sector,SEIONI TPP,NA,600,3800,296,296.5,277.05,100.17,107.02,2338,2075.53,2260.09,88.77,91.83,66.31,66.42,62.06,75.87,67.35,73.34
433,Western Region,Madhya Pradesh,Central Sector,JHAPL,Coal,600,3800,296,296.5,277.05,100.17,107.02,2338,2075.53,2260.09,88.77,91.83,66.31,66.42,62.06,75.87,67.35,73.34
434,Western Region,Madhya Pradesh,Central Sector,GADARWARA TPP,NA,1600,10500,386,779.82,153.76,202.03,507.17,6453,5536.36,5294.43,85.8,104.57,32.43,65.51,12.92,78.53,67.37,64.43
435,Western Region,Madhya Pradesh,Central Sector,KHARGONE STPP,NA,1320,8500,709,876.05,108.19,123.56,809.73,5101,4223.72,3064.7,82.8,137.82,72.19,89.2,11.02,75.24,62.3,45.21
436,Western Region,Madhya Pradesh,Central Sector,VINDHYACHAL STPS,NA,4760,38500,3352,3114.8,3294.78,92.92,94.54,22222,21472.06,21761.01,96.63,98.67,94.65,87.95,93.04,90.9,87.83,89.01
437,Western Region,Madhya Pradesh,Central Sector,NTPC Ltd.,Coal,7680,57500,4447,4770.67,3556.73,107.28,134.13,33776,31232.14,30120.14,92.47,103.69,77.83,83.49,62.25,85.63,79.18,76.36
438,Western Region,Madhya Pradesh,Central Sector,CENTRAL,Thermal,8280,61300,4743,5067.17,3833.78,106.83,132.17,36114,33307.67,32380.23,92.23,102.86,76.99,82.25,62.23,84.92,78.32,76.14
439,Western Region,Madhya Pradesh,Central Sector,INDIRA SAGAR HPS,NA,1000,2150,228,332.63,510.82,145.89,65.12,1430,2242.47,2658.32,156.82,84.36,NA,NA,NA,NA,NA,NA
440,Western Region,Madhya Pradesh,Central Sector,OMKARESHWAR HPS,NA,520,1115,120,169.45,264.04,141.21,64.18,720,1117.94,1304.26,155.27,85.71,NA,NA,NA,NA,NA,NA
441,Western Region,Madhya Pradesh,Central Sector,NHDC,Hydro,1520,3265,348,502.08,774.86,144.28,64.8,2150,3360.41,3962.58,156.3,84.8,NA,NA,NA,NA,NA,NA
442,Western Region,Madhya Pradesh,Central Sector,Central,Hydro,1520,3265,348,502.08,774.86,144.28,64.8,2150,3360.41,3962.58,156.3,84.8,NA,NA,NA,NA,NA,NA
443,Western Region,Madhya Pradesh,Central Sector,Total,Thermal,22000,148400,12010,12852.5,9393.96,107.01,136.82,85649,84449.31,78944.33,98.6,106.97,73.55,78.52,57.39,75.98,74.74,69.87
444,Western Region,Madhya Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
445,Western Region,Madhya Pradesh,Central Sector,Total,Hydro,2235,5347,605,705.2,1018.24,116.56,69.26,3371,4505.03,5084.36,133.64,88.61,NA,NA,NA,NA,NA,NA
446,Western Region,Madhya Pradesh,Central Sector,Total,Madhya Pradesh,24235,153747,12615,13557.7,10412.2,107.47,130.21,89020,88954.34,84028.69,99.93,105.86,NA,NA,NA,NA,NA,NA
447,Western Region,Maharashtra,State Sector,BHUSAWAL TPS,NA,1210,8600,711,610.55,507.92,85.87,120.21,4735,4557.22,3659.79,96.25,124.52,61.21,67.82,56.42,65.89,73.33,58.89
448,Western Region,Maharashtra,State Sector,CHANDRAPUR (MAHARASHTRA) STPS,NA,2920,18600,1498,1281.69,1138.69,85.56,112.56,10356,9064.23,8754.55,87.53,103.54,68.95,59,52.41,69.05,60.44,58.37
449,Western Region,Maharashtra,State Sector,KHAPARKHEDA TPS,NA,1340,7500,602,730.47,629.04,121.34,116.12,4339,4670.76,4453.6,107.65,104.88,60.38,73.27,63.1,63.05,67.87,64.71
450,Western Region,Maharashtra,State Sector,KORADI TPS,NA,2190,11650,949,1171.09,723.55,123.4,161.85,6518,6900.79,6270.74,105.87,110.05,58.24,71.87,44.41,57.95,61.35,55.75
451,Western Region,Maharashtra,State Sector,NASIK TPS,NA,630,3000,235,257.57,182.42,109.6,141.2,1743,1640.8,1545.64,94.14,106.16,50.14,54.95,38.92,53.87,50.71,47.77
452,Western Region,Maharashtra,State Sector,PARAS TPS,NA,500,3200,251,313,136.6,124.7,229.14,1834,1953.81,1662.4,106.53,117.53,67.47,84.14,36.72,71.42,76.08,64.74
453,Western Region,Maharashtra,State Sector,PARLI TPS,NA,750,3600,202,428.35,265.48,212.05,161.35,2081,2385.29,2305.75,114.62,103.45,36.2,76.77,47.58,54.02,61.92,59.86
454,Western Region,Maharashtra,State Sector,MAHAGENCO,Coal,9540,56150,4448,4792.72,3583.7,107.75,133.74,31606,31172.9,28652.47,98.63,108.8,60.41,67.52,50.49,63.2,63.62,58.48
455,Western Region,Maharashtra,State Sector,State Sector,Thermal,9540,56150,4448,4792.72,3583.7,107.75,133.74,31606,31172.9,28652.47,98.63,108.8,60.41,67.52,50.49,63.2,63.62,58.48
456,Western Region,Maharashtra,State Sector,URAN CCPP,NA,672,2100,148,162.71,68.64,109.94,237.05,1253,774.69,898.08,61.83,86.26,NA,NA,NA,NA,NA,NA
457,Western Region,Maharashtra,State Sector,MAHAGENCO,Natural Gas,672,2100,148,162.71,68.64,109.94,237.05,1253,774.69,898.08,61.83,86.26,NA,NA,NA,NA,NA,NA
458,Western Region,Maharashtra,State Sector,State Sector,Natural Gas,672,2100,148,162.71,68.64,109.94,237.05,1253,774.69,898.08,61.83,86.26,NA,NA,NA,NA,NA,NA
459,Western Region,Maharashtra,State Sector,BHIRA TAIL RACE HPS,NA,80,85,8,8.03,7.7,100.38,104.29,56,72.69,64.33,129.8,113,NA,NA,NA,NA,NA,NA
460,Western Region,Maharashtra,State Sector,GHATGHAR PSS HPS,NA,250,384,35,5.12,6.06,14.63,84.49,246,30.84,40.85,12.54,75.5,NA,NA,NA,NA,NA,NA
461,Western Region,Maharashtra,State Sector,KOYNA DPH HPS,NA,36,130,4,3.79,6.26,94.75,60.54,77,78.2,88.25,101.56,88.61,NA,NA,NA,NA,NA,NA
462,Western Region,Maharashtra,State Sector,KOYNA-I&II HPS,NA,600,800,56,99.44,62.86,177.57,158.19,481,697.79,719.61,145.07,96.97,NA,NA,NA,NA,NA,NA
463,Western Region,Maharashtra,State Sector,KOYNA-III HPS,NA,320,568,48,58.5,26.39,121.88,221.67,349,424.4,614.99,121.6,69.01,NA,NA,NA,NA,NA,NA
464,Western Region,Maharashtra,State Sector,KOYNA-IV HPS,NA,1000,1667,140,165.6,46.81,118.29,353.77,917,1092.1,703.12,119.09,155.32,NA,NA,NA,NA,NA,NA
465,Western Region,Maharashtra,State Sector,TILLARI HPS,NA,60,110,0,2.79,0,0,0,55,23.26,76.54,42.29,30.39,NA,NA,NA,NA,NA,NA
466,Western Region,Maharashtra,State Sector,VAITARNA HPS,NA,60,144,0,0.65,4.54,0,14.32,66,107.71,110.7,163.2,97.3,NA,NA,NA,NA,NA,NA
467,Western Region,Maharashtra,State Sector,MAHAGENCO,Hydro,2406,3888,291,343.92,160.62,118.19,214.12,2247,2526.99,2418.39,112.46,104.49,NA,NA,NA,NA,NA,NA
468,Western Region,Maharashtra,State Sector,PENCH HPS,NA,160,325,60,62.51,56.45,104.18,110.74,213,249.95,231.6,117.35,107.92,NA,NA,NA,NA,NA,NA
469,Western Region,Maharashtra,State Sector,MPPGCL,Hydro,160,325,60,62.51,56.45,104.18,110.74,213,249.95,231.6,117.35,107.92,NA,NA,NA,NA,NA,NA
470,Western Region,Maharashtra,State Sector,State Sector,Hydro,2566,4213,351,406.43,217.07,115.79,187.23,2460,2776.94,2649.99,112.88,104.79,NA,NA,NA,NA,NA,NA
471,Western Region,Maharashtra,Pvt Sector,DAHANU TPS,NA,500,3800,344,308.56,275.66,89.7,111.93,2339,2012.16,2032.76,86.03,98.99,92.47,82.95,74.1,91.08,78.36,79.16
472,Western Region,Maharashtra,Pvt Sector,AEML,Coal,500,3800,344,308.56,275.66,89.7,111.93,2339,2012.16,2032.76,86.03,98.99,92.47,82.95,74.1,91.08,78.36,79.16
473,Western Region,Maharashtra,Pvt Sector,MIHAN TPS,NA,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Western Region,Maharashtra,Pvt Sector,AMNEPL,Coal,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,Western Region,Maharashtra,Pvt Sector,TIRORA TPS,NA,3300,23800,1953,1934.91,1694.6,99.07,114.18,13726,12866.22,12835.71,93.74,100.24,79.55,78.81,69.02,80.99,75.91,75.73
476,Western Region,Maharashtra,Pvt Sector,APL,Coal,3300,23800,1953,1934.91,1694.6,99.07,114.18,13726,12866.22,12835.71,93.74,100.24,79.55,78.81,69.02,80.99,75.91,75.73
477,Western Region,Maharashtra,Pvt Sector,DHARIWAL TPP,NA,600,3700,209,293.83,345.68,140.59,85,2260,2681.36,2467.1,118.64,108.68,46.82,65.82,77.44,73.34,87.01,80.06
478,Western Region,Maharashtra,Pvt Sector,DIL,Coal,600,3700,209,293.83,345.68,140.59,85,2260,2681.36,2467.1,118.64,108.68,46.82,65.82,77.44,73.34,87.01,80.06
479,Western Region,Maharashtra,Pvt Sector,GEPL TPP Ph-I,NA,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Western Region,Maharashtra,Pvt Sector,GEPL,Coal,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Western Region,Maharashtra,Pvt Sector,GMR WARORA TPS,NA,600,4200,350,400.16,389.08,114.33,102.85,2459,2579.86,2351.54,104.92,109.71,78.41,89.64,87.16,79.8,83.72,76.31
482,Western Region,Maharashtra,Pvt Sector,GMR ENERG,Coal,600,4200,350,400.16,389.08,114.33,102.85,2459,2579.86,2351.54,104.92,109.71,78.41,89.64,87.16,79.8,83.72,76.31
483,Western Region,Maharashtra,Pvt Sector,BELA TPS,NA,270,1000,72,132.4,103.26,183.89,128.22,605,999.51,103.26,165.21,967.95,35.84,65.91,51.4,43.63,72.08,7.45
484,Western Region,Maharashtra,Pvt Sector,IEPL,Coal,270,1000,72,132.4,103.26,183.89,128.22,605,999.51,103.26,165.21,967.95,35.84,65.91,51.4,43.63,72.08,7.45
485,Western Region,Maharashtra,Pvt Sector,JSW RATNAGIRI TPP,NA,300,1000,72,203.9,49.56,283.19,411.42,628,1132.15,218.67,180.28,517.74,32.26,91.35,22.2,40.76,73.48,14.19
486,Western Region,Maharashtra,Pvt Sector,JSWEL,Coal,300,1000,72,203.9,49.56,283.19,411.42,628,1132.15,218.67,180.28,517.74,32.26,91.35,22.2,40.76,73.48,14.19
487,Western Region,Maharashtra,Pvt Sector,LANCO VIDARBHA TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Western Region,Maharashtra,Pvt Sector,LVTPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Western Region,Maharashtra,Pvt Sector,AMRAVATI TPS,NA,1350,8550,683,803,729.37,117.57,110.1,4780,5573.29,4882.17,116.6,114.16,68,79.95,72.62,68.94,80.38,70.41
490,Western Region,Maharashtra,Pvt Sector,RATTANINDIA,Coal,1350,8550,683,803,729.37,117.57,110.1,4780,5573.29,4882.17,116.6,114.16,68,79.95,72.62,68.94,80.38,70.41
491,Western Region,Maharashtra,Pvt Sector,SHIRPUR TPP,NA,150,0,0,64.75,0,0,0,0,64.75,0,0,0,0,58.02,0,0,8.4,0
492,Western Region,Maharashtra,Pvt Sector,SPPL,Coal,150,0,0,64.75,0,0,0,0,64.75,0,0,0,0,58.02,0,0,8.4,0
493,Western Region,Maharashtra,Pvt Sector,NASIK (P) TPS,NA,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Western Region,Maharashtra,Pvt Sector,STPL,Coal,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,Western Region,Maharashtra,Pvt Sector,TROMBAY TPS,NA,750,3700,277,401.96,314.47,145.11,127.82,2269,2495.85,2651.95,110,94.11,49.64,72.04,56.36,58.9,64.79,68.85
496,Western Region,Maharashtra,Pvt Sector,TATA PCL,Coal,750,3700,277,401.96,314.47,145.11,127.82,2269,2495.85,2651.95,110,94.11,49.64,72.04,56.36,58.9,64.79,68.85
497,Western Region,Maharashtra,Pvt Sector,BUTIBORI TPP,NA,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Western Region,Maharashtra,Pvt Sector,VIP,Coal,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Western Region,Maharashtra,Pvt Sector,WARDHA WARORA TPP,NA,540,2600,169,229.78,199.24,135.96,115.33,1508,2115.26,1505.83,140.27,140.47,42.06,57.19,49.59,54.37,76.27,54.29
500,Western Region,Maharashtra,Pvt Sector,WPCL,Coal,540,2600,169,229.78,199.24,135.96,115.33,1508,2115.26,1505.83,140.27,140.47,42.06,57.19,49.59,54.37,76.27,54.29
501,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Thermal,10676,52350,4129,4773.25,4100.92,115.6,116.39,30574,32520.41,29048.99,106.37,111.95,51.98,60.09,51.63,55.76,59.31,52.98
502,Western Region,Maharashtra,Pvt Sector,MANGAON CCPP,NA,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
503,Western Region,Maharashtra,Pvt Sector,PGPL,Natural Gas,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
504,Western Region,Maharashtra,Pvt Sector,TROMBAY CCPP,NA,180,500,34,68.2,77.36,200.59,88.16,297,554.4,362.88,186.67,152.78,NA,NA,NA,NA,NA,NA
505,Western Region,Maharashtra,Pvt Sector,TATA PCL,Natural Gas,180,500,34,68.2,77.36,200.59,88.16,297,554.4,362.88,186.67,152.78,NA,NA,NA,NA,NA,NA
506,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Natural Gas,568,500,34,68.2,77.36,200.59,88.16,297,554.4,362.88,186.67,152.78,NA,NA,NA,NA,NA,NA
507,Western Region,Maharashtra,Pvt Sector,BHANDARDHARA HPS ST-II,NA,34,36,0,0,0,0,0,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
508,Western Region,Maharashtra,Pvt Sector,DLHP,Hydro,34,36,0,0,0,0,0,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
509,Western Region,Maharashtra,Pvt Sector,BHIRA HPS,NA,150,452,39,36.5,35.68,93.59,102.3,288,307.43,268.53,106.75,114.49,NA,NA,NA,NA,NA,NA
510,Western Region,Maharashtra,Pvt Sector,BHIRA PSS HPS,NA,150,448,38,41.65,38.69,109.61,107.65,286,380.66,374.38,133.1,101.68,NA,NA,NA,NA,NA,NA
511,Western Region,Maharashtra,Pvt Sector,BHIVPURI HPS,NA,75,285,20,27.36,24.68,136.8,110.86,134,144.69,165.1,107.98,87.64,NA,NA,NA,NA,NA,NA
512,Western Region,Maharashtra,Pvt Sector,KHOPOLI HPS,NA,72,285,20,21.28,14.72,106.42,144.59,180,181.15,199.95,100.64,90.6,NA,NA,NA,NA,NA,NA
513,Western Region,Maharashtra,Pvt Sector,TATA MAH.,Hydro,447,1470,117,126.79,113.77,108.37,111.44,888,1013.93,1007.96,114.18,100.59,NA,NA,NA,NA,NA,NA
514,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Hydro,481,1506,117,126.79,113.77,108.37,111.44,911,1033.18,1024.3,113.41,100.87,NA,NA,NA,NA,NA,NA
515,Western Region,Maharashtra,Central Sector,MAUDA TPS,NA,2320,15600,929,1065.41,908.67,114.68,117.25,9509,8654.26,8341.43,91.01,103.75,53.82,61.72,52.64,79.8,72.63,70
516,Western Region,Maharashtra,Central Sector,SOLAPUR STPS,NA,1320,6900,542,758.71,30.82,139.98,2461.75,4006,4294.86,3062.73,107.21,140.23,55.19,77.26,3.14,59.09,63.35,45.18
517,Western Region,Maharashtra,Central Sector,NTPC Ltd.,Coal,3640,22500,1471,1824.12,939.49,124.01,194.16,13515,12949.12,11404.16,95.81,113.55,54.32,67.36,34.69,72.29,69.27,61
518,Western Region,Maharashtra,Central Sector,Central,Thermal,3640,22500,1471,1824.12,939.49,124.01,194.16,13515,12949.12,11404.16,95.81,113.55,54.32,67.36,34.69,72.29,69.27,61
519,Western Region,Maharashtra,Central Sector,RATNAGIRI CCPP,NA,1967.08,1050,86,106.27,0,123.57,0,581,834.17,302.88,143.57,275.41,NA,NA,NA,NA,NA,NA
520,Western Region,Maharashtra,Central Sector,RGPPL,Natural Gas,1967.08,1050,86,106.27,0,123.57,0,581,834.17,302.88,143.57,275.41,NA,NA,NA,NA,NA,NA
521,Western Region,Maharashtra,Central Sector,CENTRAL,Natural Gas,1967.08,1050,86,106.27,0,123.57,0,581,834.17,302.88,143.57,275.41,NA,NA,NA,NA,NA,NA
522,Western Region,Maharashtra,Central Sector,TARAPUR,NA,1400,8151,732,803.42,807.17,109.76,99.54,4552,4976.21,5467.08,109.32,91.02,70.28,77.13,77.49,63.31,69.21,76.03
523,Western Region,Maharashtra,Central Sector,NPCIL,Nuclear,1400,8151,732,803.42,807.17,109.76,99.54,4552,4976.21,5467.08,109.32,91.02,70.28,77.13,77.49,63.31,69.21,76.03
524,Western Region,Maharashtra,Central Sector,Central,Nuclear,1400,8151,732,803.42,807.17,109.76,99.54,4552,4976.21,5467.08,109.32,91.02,70.28,77.13,77.49,63.31,69.21,76.03
525,Western Region,Maharashtra,Central Sector,Total,Thermal,23856,131000,10048,11390.09,8624.11,113.36,132.07,75695,76642.43,69105.62,101.25,110.91,55.71,64.17,48.59,61.26,62.55,56.4
526,Western Region,Maharashtra,Central Sector,Total,Nuclear,1400,8151,732,803.42,807.17,109.76,99.54,4552,4976.21,5467.08,109.32,91.02,70.28,77.13,77.49,63.31,69.21,76.03
527,Western Region,Maharashtra,Central Sector,Total,Natural Gas,3207.08,3650,268,337.18,146,125.81,230.95,2131,2163.26,1563.84,101.51,138.33,NA,NA,NA,NA,NA,NA
528,Western Region,Maharashtra,Central Sector,Total,Hydro,3047,5719,468,533.22,330.84,113.94,161.17,3371,3810.12,3674.29,113.03,103.7,NA,NA,NA,NA,NA,NA
529,Western Region,Maharashtra,Central Sector,Total,Maharashtra,31510.08,148520,11516,13063.91,9908.12,113.44,131.85,85749,87592.02,79810.83,102.15,109.75,NA,NA,NA,NA,NA,NA
530,Southern Region,Andhra Pradesh,State Sector,Dr. N.TATA RAO TPS,NA,1760,13500,779,956.35,745.41,122.77,128.3,7334,6843.93,6240.51,93.32,109.67,40.9,73.04,56.93,55.78,75.71,69.04
531,Southern Region,Andhra Pradesh,State Sector,RAYALASEEMA TPS,NA,1650,9500,733,846.22,756.78,115.45,111.82,5575,6030.19,5232.96,108.16,115.23,59.71,68.93,61.65,65.79,71.16,61.75
532,Southern Region,Andhra Pradesh,State Sector,APGENCO,Coal,3410,23000,1512,1802.57,1502.19,119.22,120,12909,12874.12,11473.47,99.73,112.21,48.27,71.05,59.21,59.7,73.51,65.51
533,Southern Region,Andhra Pradesh,State Sector,DAMODARAM SANJEEVAIAH TPS,NA,2400,9000,467,753.24,377.02,161.29,199.79,5527,5886.29,3461.72,106.5,170.04,26.15,50.24,31.67,44.84,51.46,42.13
534,Southern Region,Andhra Pradesh,State Sector,APPDCL,Coal,2400,9000,467,753.24,377.02,161.29,199.79,5527,5886.29,3461.72,106.5,170.04,26.15,50.24,31.67,44.84,51.46,42.13
535,Southern Region,Andhra Pradesh,State Sector,State Sector,Thermal,5810,32000,1979,2555.81,1879.21,129.15,136,18436,18760.41,14935.19,101.76,125.61,40.24,64.4,50.42,54.31,66.47,58.04
536,Southern Region,Andhra Pradesh,State Sector,JEGURUPADU CCPP PH I,NA,235.4,200,16,0,7.59,0,0,120,0,244.48,0,0,NA,NA,NA,NA,NA,NA
537,Southern Region,Andhra Pradesh,State Sector,APEPDCL,Natural Gas,235.4,200,16,0,7.59,0,0,120,0,244.48,0,0,NA,NA,NA,NA,NA,NA
538,Southern Region,Andhra Pradesh,State Sector,State Sector,Natural Gas,235.4,200,16,0,7.59,0,0,120,0,244.48,0,0,NA,NA,NA,NA,NA,NA
