Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),October` 2023 - Program - Col (3),October` 2023 - Actual - Col (4),October` 2023 - Actual Same Month 2022-23 - Col (5),October` 2023 - % of Program Col. (4/3) - Col (6),October` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to October` 2023 - Program - Col (8),April` 2023 to October` 2023 - Actual - Col (9),April` 2023 to October` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to October` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to October` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - October` 2023 - Program - Col (13),Plant Load Factor (%) - October` 2023 - Actual - Col (14),Plant Load Factor (%) - October` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to October` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual Same Peroid 2022-23 - Col (18)
77,Northern Region,Himachal Pradesh,Central Sector,RAMPUR HPS,NA,412.02,1940,136,122.55,148.6,90.11,82.47,1618,1468.28,1662.85,90.75,88.3,NA,NA,NA,NA,NA,NA
78,Northern Region,Himachal Pradesh,Central Sector,SJVNL,Hydro,1912.02,8865,620,548.09,666.77,88.4,82.2,7388,6696.58,7621.84,90.64,87.86,NA,NA,NA,NA,NA,NA
79,Northern Region,Himachal Pradesh,Central Sector,Central,Hydro,7266.02,27171,1878,1873.07,2058.05,99.74,91.01,21481,20744.31,21298.97,96.57,97.4,NA,NA,NA,NA,NA,NA
80,Northern Region,Himachal Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
81,Northern Region,Himachal Pradesh,Central Sector,Total,Hydro,10263.02,38524,2503,2481.27,2872.71,99.13,86.37,30972,29199.41,30885.16,94.28,94.54,NA,NA,NA,NA,NA,NA
82,Northern Region,Himachal Pradesh,Central Sector,Total,Himachal Pradesh,10263.02,38524,2503,2481.27,2872.71,99.13,86.37,30972,29199.41,30885.16,94.28,94.54,NA,NA,NA,NA,NA,NA
83,Northern Region,Jammu and Kashmir,State Sector,PAMPORE GPS (Liq.),NA,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
84,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
85,Northern Region,Jammu and Kashmir,State Sector,State Sector,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
86,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR HPS,NA,450,2751,254,236.12,224.78,92.96,105.04,2095,1999.41,2071.09,95.44,96.54,NA,NA,NA,NA,NA,NA
87,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR II HPS,NA,450,1700,0,5.82,0,0,0,1700,1518.16,1453.79,89.3,104.43,NA,NA,NA,NA,NA,NA
88,Northern Region,Jammu and Kashmir,State Sector,LOWER JHELUM HPS,NA,105,650,40,34.72,30.74,86.8,112.95,435,363.06,405.82,83.46,89.46,NA,NA,NA,NA,NA,NA
89,Northern Region,Jammu and Kashmir,State Sector,UPPER SINDH-II HPS,NA,105,450,21,6.65,15.03,31.67,44.24,389,109.79,219.85,28.22,49.94,NA,NA,NA,NA,NA,NA
90,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Hydro,1110,5551,315,283.31,270.55,89.94,104.72,4619,3990.42,4150.55,86.39,96.14,NA,NA,NA,NA,NA,NA
91,Northern Region,Jammu and Kashmir,State Sector,State Sector,Hydro,1110,5551,315,283.31,270.55,89.94,104.72,4619,3990.42,4150.55,86.39,96.14,NA,NA,NA,NA,NA,NA
92,Northern Region,Jammu and Kashmir,Central Sector,DULHASTI HPS,NA,390,2267,235,214.22,202.12,91.16,105.99,1826,1638.02,1754.36,89.71,93.37,NA,NA,NA,NA,NA,NA
93,Northern Region,Jammu and Kashmir,Central Sector,KISHANGANGA HPS,NA,330,1712,145,58.61,45.06,40.42,130.07,1416,1154.43,1238.53,81.53,93.21,NA,NA,NA,NA,NA,NA
94,Northern Region,Jammu and Kashmir,Central Sector,SALAL HPS,NA,690,3503,206,199.53,178.94,96.86,111.51,2872,2841.52,2723.49,98.94,104.33,NA,NA,NA,NA,NA,NA
95,Northern Region,Jammu and Kashmir,Central Sector,SEWA-II HPS,NA,120,507,18,25.55,27.33,141.94,93.49,387,411.15,343.45,106.24,119.71,NA,NA,NA,NA,NA,NA
96,Northern Region,Jammu and Kashmir,Central Sector,URI-I HPS,NA,480,2821,152,124.91,99.29,82.18,125.8,2011,1860.44,2000.03,92.51,93.02,NA,NA,NA,NA,NA,NA
