Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
64,Northern Region,Himachal Pradesh,Central Sector,DEHAR HPS,NA,990,3000,455,398.83,452.88,87.65,88.07,1469,1345.8,1356.68,91.61,99.2,NA,NA,NA,NA,NA,NA
65,Northern Region,Himachal Pradesh,Central Sector,PONG HPS,NA,396,1100,130,212.27,96.4,163.28,220.2,310,388.55,330.87,125.34,117.43,NA,NA,NA,NA,NA,NA
66,Northern Region,Himachal Pradesh,Central Sector,BBMB,Hydro,2783,8700,1035,1339.88,1016.78,129.46,131.78,3204,3422.7,3231.68,106.83,105.91,NA,NA,NA,NA,NA,NA
67,Northern Region,Himachal Pradesh,Central Sector,BAIRA SIUL HPS,NA,180,692,117,36.41,61.3,31.12,59.4,355,275.58,244.61,77.63,112.66,NA,NA,NA,NA,NA,NA
68,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-I HPS,NA,540,2224,384,408.88,376.53,106.48,108.59,1080,1205.99,893.57,111.67,134.96,NA,NA,NA,NA,NA,NA
69,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-II HPS,NA,300,1433,212,79.81,207.57,37.65,38.45,753,552.29,661.19,73.35,83.53,NA,NA,NA,NA,NA,NA
70,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-III HPS,NA,231,1063,162,128.85,157.89,79.54,81.61,545,470.24,503.97,86.28,93.31,NA,NA,NA,NA,NA,NA
71,Northern Region,Himachal Pradesh,Central Sector,PARBATI-II HPS,NA,0,285,0,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA
72,Northern Region,Himachal Pradesh,Central Sector,PARBATI-III HPS,NA,520,809,145,51.73,157.98,35.68,32.74,367,212.08,284.43,57.79,74.56,NA,NA,NA,NA,NA,NA
73,Northern Region,Himachal Pradesh,Central Sector,NHPC,Hydro,1771,6506,1020,705.68,961.27,69.18,73.41,3110,2716.18,2587.77,87.34,104.96,NA,NA,NA,NA,NA,NA
74,Northern Region,Himachal Pradesh,Central Sector,KOLDAM,NA,800,3100,595,623.8,635.53,104.84,98.15,1584,1315.76,1362.51,83.07,96.57,NA,NA,NA,NA,NA,NA
75,Northern Region,Himachal Pradesh,Central Sector,NTPC Ltd.,Hydro,800,3100,595,623.8,635.53,104.84,98.15,1584,1315.76,1362.51,83.07,96.57,NA,NA,NA,NA,NA,NA
76,Northern Region,Himachal Pradesh,Central Sector,NATHPA JHAKRI HPS,NA,1500,6925,1166,1078.51,1181.44,92.5,91.29,3236,2642.61,3271.86,81.66,80.77,NA,NA,NA,NA,NA,NA
77,Northern Region,Himachal Pradesh,Central Sector,RAMPUR HPS,NA,412.02,1940,327,298.95,324.84,91.42,92.03,907,741.08,912.28,81.71,81.23,NA,NA,NA,NA,NA,NA
78,Northern Region,Himachal Pradesh,Central Sector,SJVNL,Hydro,1912.02,8865,1493,1377.46,1506.28,92.26,91.45,4143,3383.69,4184.14,81.67,80.87,NA,NA,NA,NA,NA,NA
79,Northern Region,Himachal Pradesh,Central Sector,Central,Hydro,7266.02,27171,4143,4046.82,4119.86,97.68,98.23,12041,10838.33,11366.1,90.01,95.36,NA,NA,NA,NA,NA,NA
80,Northern Region,Himachal Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
81,Northern Region,Himachal Pradesh,Central Sector,Total,Hydro,10263.02,38524,6109,5717.14,6180.21,93.59,92.51,17521,15471.89,16505.4,88.3,93.74,NA,NA,NA,NA,NA,NA
82,Northern Region,Himachal Pradesh,Central Sector,Total,Himachal Pradesh,10263.02,38524,6109,5717.14,6180.21,93.59,92.51,17521,15471.89,16505.4,88.3,93.74,NA,NA,NA,NA,NA,NA
83,Northern Region,Jammu and Kashmir,State Sector,PAMPORE GPS (Liq.),NA,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
84,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
85,Northern Region,Jammu and Kashmir,State Sector,State Sector,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
86,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR HPS,NA,450,2751,325,309.77,334.69,95.31,92.55,1212,1106.91,1189.93,91.33,93.02,NA,NA,NA,NA,NA,NA
87,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR II HPS,NA,450,1700,407,322.32,333.68,79.19,96.6,1153,922.62,866.16,80.02,106.52,NA,NA,NA,NA,NA,NA
88,Northern Region,Jammu and Kashmir,State Sector,LOWER JHELUM HPS,NA,105,650,70,63.2,70.7,90.29,89.39,280,238.11,272.14,85.04,87.5,NA,NA,NA,NA,NA,NA
