Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
399,Western Region,Gujarat,Central Sector,Total,Hydro,1990,4151,143,441.47,497.82,308.72,88.68,872,824.25,1028.77,94.52,80.12,NA,NA,NA,NA,NA,NA
400,Western Region,Gujarat,Central Sector,Total,Gujarat,26773.41,77095,5210,6896.94,4632.36,132.38,148.89,26654,26901.53,24409.34,100.93,110.21,NA,NA,NA,NA,NA,NA
401,Western Region,Madhya Pradesh,State Sector,AMARKANTAK EXT TPS,NA,210,1650,133,155.21,139.4,116.7,111.34,556,586.34,579.22,105.46,101.23,85.13,99.34,89.22,90.42,95.36,94.2
402,Western Region,Madhya Pradesh,State Sector,SANJAY GANDHI TPS,NA,1340,8550,584,831.13,694.11,142.32,119.74,3014,3044.15,2721.49,101,111.86,58.58,83.37,69.62,76.82,77.59,69.36
403,Western Region,Madhya Pradesh,State Sector,SATPURA TPS,NA,1330,3750,233,302.98,350.9,130.03,86.34,1227,1337.17,1403,108.98,95.31,23.55,30.62,35.46,31.51,34.34,36.03
404,Western Region,Madhya Pradesh,State Sector,SHREE SINGAJI TPP,NA,2520,13700,719,986.67,986.56,137.23,100.01,4420,4343.01,4905.36,98.26,88.54,38.35,52.63,52.62,59.9,58.86,66.48
405,Western Region,Madhya Pradesh,State Sector,MPPGCL,Coal,5400,27650,1669,2275.99,2170.97,136.37,104.84,9217,9310.67,9609.07,101.02,96.89,41.54,56.65,54.04,58.29,58.89,60.77
406,Western Region,Madhya Pradesh,State Sector,State Sector,Thermal,5400,27650,1669,2275.99,2170.97,136.37,104.84,9217,9310.67,9609.07,101.02,96.89,41.54,56.65,54.04,58.29,58.89,60.77
407,Western Region,Madhya Pradesh,State Sector,BANSAGAR-II HPS,NA,30,90,7,4.55,4.74,65,95.99,24,26.51,20.3,110.46,130.59,NA,NA,NA,NA,NA,NA
408,Western Region,Madhya Pradesh,State Sector,BANSAGAR-III HPS,NA,60,98,12,42,41.25,350,101.82,12,54.4,58.23,453.33,93.42,NA,NA,NA,NA,NA,NA
409,Western Region,Madhya Pradesh,State Sector,BANSAGAR TONS-I HPS,NA,315,1000,100,24.21,62.08,24.21,39,270,174.72,211.01,64.71,82.8,NA,NA,NA,NA,NA,NA
410,Western Region,Madhya Pradesh,State Sector,BARGI HPS,NA,90,420,30,61.21,31.47,204.03,194.48,118,135.77,103.99,115.06,130.56,NA,NA,NA,NA,NA,NA
411,Western Region,Madhya Pradesh,State Sector,GANDHI SAGAR HPS,NA,115,270,20,15.7,0,78.5,0,45,73.27,16.9,162.82,433.55,NA,NA,NA,NA,NA,NA
412,Western Region,Madhya Pradesh,State Sector,MADHIKHERA HPS,NA,60,116,11,5.7,19.46,51.82,29.29,13,7.26,30.2,55.85,24.04,NA,NA,NA,NA,NA,NA
413,Western Region,Madhya Pradesh,State Sector,RAJGHAT HPS,NA,45,88,10,16.47,15.74,164.7,104.64,10,20.07,25.17,200.7,79.74,NA,NA,NA,NA,NA,NA
414,Western Region,Madhya Pradesh,State Sector,MPPGCL,Hydro,715,2082,190,169.84,174.74,89.39,97.2,492,492,465.8,100,105.62,NA,NA,NA,NA,NA,NA
415,Western Region,Madhya Pradesh,State Sector,State Sector,Hydro,715,2082,190,169.84,174.74,89.39,97.2,492,492,465.8,100,105.62,NA,NA,NA,NA,NA,NA
416,Western Region,Madhya Pradesh,Pvt Sector,NIWARI TPP,NA,90,600,48,45.88,6.46,95.58,710.22,216,178.6,58.13,82.69,307.24,71.68,68.52,9.65,81.97,67.77,22.06
417,Western Region,Madhya Pradesh,Pvt Sector,BLAPPL,Coal,90,600,48,45.88,6.46,95.58,710.22,216,178.6,58.13,82.69,307.24,71.68,68.52,9.65,81.97,67.77,22.06
418,Western Region,Madhya Pradesh,Pvt Sector,MAHAN TPP,NA,1200,6000,446,572.67,120.83,128.4,473.95,1947,2387.69,1527,122.63,156.36,49.96,64.14,13.53,55.41,67.96,43.46
419,Western Region,Madhya Pradesh,Pvt Sector,ESSARPMPL,Coal,1200,6000,446,572.67,120.83,128.4,473.95,1947,2387.69,1527,122.63,156.36,49.96,64.14,13.53,55.41,67.96,43.46
420,Western Region,Madhya Pradesh,Pvt Sector,BINA TPS,NA,500,3350,272,272.87,228.11,100.32,119.62,1212,1098.92,1060.77,90.67,103.6,73.12,73.35,61.32,82.79,75.06,72.46
421,Western Region,Madhya Pradesh,Pvt Sector,NIGRI TPP,NA,1320,9100,740,854.18,813.95,115.43,104.94,3310,3461.08,3394.81,104.56,101.95,75.35,86.98,82.88,85.64,89.55,87.84
422,Western Region,Madhya Pradesh,Pvt Sector,JPPVL,Coal,1820,12450,1012,1127.05,1042.06,111.37,108.16,4522,4560,4455.58,100.84,102.34,74.74,83.23,76.96,84.86,85.57,83.61
423,Western Region,Madhya Pradesh,Pvt Sector,ANUPPUR TPP,NA,1200,8000,644,755.4,613.22,117.3,123.19,2882,3023.84,2762.5,104.92,109.46,72.13,84.61,68.69,82.02,86.06,78.62
424,Western Region,Madhya Pradesh,Pvt Sector,MBPMPL,Coal,1200,8000,644,755.4,613.22,117.3,123.19,2882,3023.84,2762.5,104.92,109.46,72.13,84.61,68.69,82.02,86.06,78.62
425,Western Region,Madhya Pradesh,Pvt Sector,SASAN UMTPP,NA,3960,32400,2561,2775.75,2685.09,108.39,103.38,10854,10273.35,11112.57,94.65,92.45,86.92,94.21,91.14,93.61,88.6,95.84
426,Western Region,Madhya Pradesh,Pvt Sector,SPL,Coal,3960,32400,2561,2775.75,2685.09,108.39,103.38,10854,10273.35,11112.57,94.65,92.45,86.92,94.21,91.14,93.61,88.6,95.84
427,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Thermal,8270,59450,4711,5276.75,4467.66,112.01,118.11,20421,20423.48,19915.78,100.01,102.55,76.59,85.76,72.61,84.35,84.34,82.25
428,Western Region,Madhya Pradesh,Pvt Sector,MAHESHWAR HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
429,Western Region,Madhya Pradesh,Pvt Sector,SMHPCL,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
430,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
431,Western Region,Madhya Pradesh,Central Sector,SEIONI TPP,NA,600,3800,303,302.7,325.15,99.9,93.1,1422,1251.83,1378.91,88.03,90.78,67.88,67.81,72.84,80.94,71.26,78.49
432,Western Region,Madhya Pradesh,Central Sector,JHAPL,Coal,600,3800,303,302.7,325.15,99.9,93.1,1422,1251.83,1378.91,88.03,90.78,67.88,67.81,72.84,80.94,71.26,78.49
433,Western Region,Madhya Pradesh,Central Sector,GADARWARA TPP,NA,1600,10500,1013,766.33,749.28,75.65,102.28,4301,2767.67,3595.41,64.35,76.98,85.1,64.38,62.94,91.81,59.08,76.75
434,Western Region,Madhya Pradesh,Central Sector,KHARGONE STPP,NA,1320,8500,666,355.9,380.04,53.44,93.65,2886,1915.8,2201.35,66.38,87.03,67.82,36.24,38.7,74.67,49.57,56.96
435,Western Region,Madhya Pradesh,Central Sector,VINDHYACHAL STPS,NA,4760,38500,3073,2887.86,3136.85,93.98,92.06,12676,12348.44,12508.48,97.42,98.72,86.77,81.54,88.58,90.95,88.6,89.75
436,Western Region,Madhya Pradesh,Central Sector,NTPC Ltd.,Coal,7680,57500,4752,4010.09,4266.17,84.39,94,19863,17031.91,18305.24,85.75,93.04,83.17,70.18,74.66,88.33,75.74,81.4
437,Western Region,Madhya Pradesh,Central Sector,CENTRAL,Thermal,8280,61300,5055,4312.79,4591.32,85.32,93.93,21285,18283.74,19684.15,85.9,92.89,82.06,70.01,74.53,87.8,75.42,81.19
438,Western Region,Madhya Pradesh,Central Sector,INDIRA SAGAR HPS,NA,1000,2150,144,382.83,379.91,265.85,100.77,495,684.23,695.9,138.23,98.32,NA,NA,NA,NA,NA,NA
439,Western Region,Madhya Pradesh,Central Sector,OMKARESHWAR HPS,NA,520,1115,80,231.62,206.09,289.53,112.39,273,389.59,363.39,142.71,107.21,NA,NA,NA,NA,NA,NA
440,Western Region,Madhya Pradesh,Central Sector,NHDC,Hydro,1520,3265,224,614.45,586,274.31,104.85,768,1073.82,1059.29,139.82,101.37,NA,NA,NA,NA,NA,NA
441,Western Region,Madhya Pradesh,Central Sector,Central,Hydro,1520,3265,224,614.45,586,274.31,104.85,768,1073.82,1059.29,139.82,101.37,NA,NA,NA,NA,NA,NA
442,Western Region,Madhya Pradesh,Central Sector,Total,Thermal,21950,148400,11435,11865.53,11229.95,103.77,105.66,50923,48017.89,49209,94.3,97.58,70.02,72.66,68.77,79.23,74.71,76.57
443,Western Region,Madhya Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
444,Western Region,Madhya Pradesh,Central Sector,Total,Hydro,2235,5347,414,784.29,760.74,189.44,103.1,1260,1565.82,1525.09,124.27,102.67,NA,NA,NA,NA,NA,NA
445,Western Region,Madhya Pradesh,Central Sector,Total,Madhya Pradesh,24185,153747,11849,12649.82,11990.69,106.76,105.5,52183,49583.71,50734.09,95.02,97.73,NA,NA,NA,NA,NA,NA
446,Western Region,Maharashtra,State Sector,BHUSAWAL TPS,NA,1210,8600,504,670.97,509.43,133.13,131.71,2540,2716.47,2414.09,106.95,112.53,38.21,74.53,56.59,67.18,76.67,68.14
447,Western Region,Maharashtra,State Sector,CHANDRAPUR (MAHARASHTRA) STPS,NA,2920,18600,998,1151.68,997.99,115.4,115.4,6023,5674.27,5534.08,94.21,102.53,45.94,53.01,45.94,70.45,66.37,64.73
448,Western Region,Maharashtra,State Sector,KHAPARKHEDA TPS,NA,1340,7500,529,571.26,588.42,107.99,97.08,2729,2666.65,2737.05,97.72,97.43,53.06,57.3,59.02,69.55,67.97,69.76
449,Western Region,Maharashtra,State Sector,KORADI TPS,NA,2190,11650,621,902.22,672.19,145.29,134.22,3928,4128.84,4218.02,105.11,97.89,38.11,55.37,41.25,61.26,64.39,65.78
450,Western Region,Maharashtra,State Sector,NASIK TPS,NA,630,3000,202,211.61,160.83,104.76,131.57,1089,926.65,1002.88,85.09,92.4,43.1,45.15,34.31,59.04,50.23,54.37
451,Western Region,Maharashtra,State Sector,PARAS TPS,NA,500,3200,257,240.7,211.44,93.66,113.84,1172,1095.87,1064.04,93.5,102.99,69.09,64.7,56.84,80.05,74.85,72.68
452,Western Region,Maharashtra,State Sector,PARLI TPS,NA,750,3600,291,140.6,321.95,48.32,43.67,1284,1259.33,1329.56,98.08,94.72,52.15,25.2,57.7,58.47,57.35,60.54
453,Western Region,Maharashtra,State Sector,MAHAGENCO,Coal,9540,56150,3402,3889.04,3462.25,114.32,112.33,18765,18468.08,18299.72,98.42,100.92,45.68,54.79,48.78,66.61,66.12,65.51
454,Western Region,Maharashtra,State Sector,State Sector,Thermal,9540,56150,3402,3889.04,3462.25,114.32,112.33,18765,18468.08,18299.72,98.42,100.92,45.68,54.79,48.78,66.61,66.12,65.51
455,Western Region,Maharashtra,State Sector,URAN CCPP,NA,672,2100,145,1.43,113.01,0.99,1.27,775,379.74,602.62,49,63.01,NA,NA,NA,NA,NA,NA
456,Western Region,Maharashtra,State Sector,MAHAGENCO,Natural Gas,672,2100,145,1.43,113.01,0.99,1.27,775,379.74,602.62,49,63.01,NA,NA,NA,NA,NA,NA
457,Western Region,Maharashtra,State Sector,State Sector,Natural Gas,672,2100,145,1.43,113.01,0.99,1.27,775,379.74,602.62,49,63.01,NA,NA,NA,NA,NA,NA
458,Western Region,Maharashtra,State Sector,BHIRA TAIL RACE HPS,NA,80,85,11,13.63,12.83,123.91,106.24,28,39.81,30.75,142.18,129.46,NA,NA,NA,NA,NA,NA
459,Western Region,Maharashtra,State Sector,GHATGHAR PSS HPS,NA,250,384,35,6.81,2.95,19.46,230.88,140,10.48,22.26,7.49,47.08,NA,NA,NA,NA,NA,NA
460,Western Region,Maharashtra,State Sector,KOYNA DPH HPS,NA,36,130,11,4.52,11.87,41.09,38.08,50,56.02,62.47,112.04,89.68,NA,NA,NA,NA,NA,NA
461,Western Region,Maharashtra,State Sector,KOYNA-I&II HPS,NA,600,800,20,56.26,72.96,281.3,77.11,359,427.56,500.48,119.1,85.43,NA,NA,NA,NA,NA,NA
462,Western Region,Maharashtra,State Sector,KOYNA-III HPS,NA,320,568,25,34.09,46.77,136.36,72.89,223,257.97,502.65,115.68,51.32,NA,NA,NA,NA,NA,NA
463,Western Region,Maharashtra,State Sector,KOYNA-IV HPS,NA,1000,1667,50,10.62,62.78,21.24,16.92,532,646.85,499.82,121.59,129.42,NA,NA,NA,NA,NA,NA
464,Western Region,Maharashtra,State Sector,TILLARI HPS,NA,60,110,11,1.16,14.88,10.55,7.8,38,16.83,47.15,44.29,35.69,NA,NA,NA,NA,NA,NA
465,Western Region,Maharashtra,State Sector,VAITARNA HPS,NA,60,144,11,0.64,19.24,5.82,3.33,66,100.25,67.73,151.89,148.01,NA,NA,NA,NA,NA,NA
466,Western Region,Maharashtra,State Sector,MAHAGENCO,Hydro,2406,3888,174,127.73,244.28,73.41,52.29,1436,1555.77,1733.31,108.34,89.76,NA,NA,NA,NA,NA,NA
467,Western Region,Maharashtra,State Sector,PENCH HPS,NA,160,325,20,21.89,34.12,109.45,64.16,58,36.76,72.73,63.38,50.54,NA,NA,NA,NA,NA,NA
468,Western Region,Maharashtra,State Sector,MPPGCL,Hydro,160,325,20,21.89,34.12,109.45,64.16,58,36.76,72.73,63.38,50.54,NA,NA,NA,NA,NA,NA
469,Western Region,Maharashtra,State Sector,State Sector,Hydro,2566,4213,194,149.62,278.4,77.12,53.74,1494,1592.53,1806.04,106.6,88.18,NA,NA,NA,NA,NA,NA
470,Western Region,Maharashtra,Pvt Sector,DAHANU TPS,NA,500,3800,346,271.53,202.84,78.48,133.86,1323,1129.68,1207.07,85.39,93.59,93.01,72.99,54.53,90.37,77.16,82.45
471,Western Region,Maharashtra,Pvt Sector,AEML,Coal,500,3800,346,271.53,202.84,78.48,133.86,1323,1129.68,1207.07,85.39,93.59,93.01,72.99,54.53,90.37,77.16,82.45
472,Western Region,Maharashtra,Pvt Sector,MIHAN TPS,NA,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Western Region,Maharashtra,Pvt Sector,AMNEPL,Coal,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Western Region,Maharashtra,Pvt Sector,TIRORA TPS,NA,3300,23800,1685,1637.11,1560.04,97.16,104.94,8197,7468.41,7595.81,91.11,98.32,68.63,66.68,63.54,84.83,77.29,78.61
475,Western Region,Maharashtra,Pvt Sector,APL,Coal,3300,23800,1685,1637.11,1560.04,97.16,104.94,8197,7468.41,7595.81,91.11,98.32,68.63,66.68,63.54,84.83,77.29,78.61
476,Western Region,Maharashtra,Pvt Sector,DHARIWAL TPP,NA,600,3700,310,395.06,328.37,127.44,120.31,1413,1579.38,1459.36,111.77,108.22,69.44,88.5,73.56,80.43,89.9,83.07
477,Western Region,Maharashtra,Pvt Sector,DIL,Coal,600,3700,310,395.06,328.37,127.44,120.31,1413,1579.38,1459.36,111.77,108.22,69.44,88.5,73.56,80.43,89.9,83.07
478,Western Region,Maharashtra,Pvt Sector,GEPL TPP Ph-I,NA,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,Western Region,Maharashtra,Pvt Sector,GEPL,Coal,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Western Region,Maharashtra,Pvt Sector,GMR WARORA TPS,NA,600,4200,368,379.98,218.77,103.26,173.69,1542,1561.22,1447.71,101.25,107.84,82.44,85.12,49.01,87.77,88.87,82.41
481,Western Region,Maharashtra,Pvt Sector,GMR ENERG,Coal,600,4200,368,379.98,218.77,103.26,173.69,1542,1561.22,1447.71,101.25,107.84,82.44,85.12,49.01,87.77,88.87,82.41
482,Western Region,Maharashtra,Pvt Sector,BELA TPS,NA,270,1000,77,153.85,0,199.81,0,375,539.37,0,143.83,0,38.33,76.59,0,47.43,68.23,0
483,Western Region,Maharashtra,Pvt Sector,IEPL,Coal,270,1000,77,153.85,0,199.81,0,375,539.37,0,143.83,0,38.33,76.59,0,47.43,68.23,0
484,Western Region,Maharashtra,Pvt Sector,JSW RATNAGIRI TPP,NA,300,1000,78,179.34,0.01,229.92,1793400,390,755.31,0.01,193.67,7553100,34.95,80.35,0,44.4,85.99,0
485,Western Region,Maharashtra,Pvt Sector,JSWEL,Coal,300,1000,78,179.34,0.01,229.92,1793400,390,755.31,0.01,193.67,7553100,34.95,80.35,0,44.4,85.99,0
486,Western Region,Maharashtra,Pvt Sector,LANCO VIDARBHA TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,Western Region,Maharashtra,Pvt Sector,LVTPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Western Region,Maharashtra,Pvt Sector,AMRAVATI TPS,NA,1350,8550,561,734.82,623.42,130.98,117.87,2914,3203.43,3026.12,109.93,105.86,55.85,73.16,62.07,73.72,81.04,76.56
489,Western Region,Maharashtra,Pvt Sector,RATTANINDIA,Coal,1350,8550,561,734.82,623.42,130.98,117.87,2914,3203.43,3026.12,109.93,105.86,55.85,73.16,62.07,73.72,81.04,76.56
490,Western Region,Maharashtra,Pvt Sector,SHIRPUR TPP,NA,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Western Region,Maharashtra,Pvt Sector,SPPL,Coal,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Western Region,Maharashtra,Pvt Sector,NASIK (P) TPS,NA,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,Western Region,Maharashtra,Pvt Sector,STPL,Coal,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Western Region,Maharashtra,Pvt Sector,TROMBAY TPS,NA,750,3700,287,272.9,316.11,95.09,86.33,1385,1346.31,1672.88,97.21,80.48,51.43,48.91,56.65,63.07,61.31,76.18
495,Western Region,Maharashtra,Pvt Sector,TATA PCL,Coal,750,3700,287,272.9,316.11,95.09,86.33,1385,1346.31,1672.88,97.21,80.48,51.43,48.91,56.65,63.07,61.31,76.18
496,Western Region,Maharashtra,Pvt Sector,BUTIBORI TPP,NA,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,Western Region,Maharashtra,Pvt Sector,VIP,Coal,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Western Region,Maharashtra,Pvt Sector,WARDHA WARORA TPP,NA,540,2600,208,250.71,204.05,120.53,122.87,926,1222.19,968.44,131.99,126.2,51.77,62.4,50.79,58.57,77.3,61.25
499,Western Region,Maharashtra,Pvt Sector,WPCL,Coal,540,2600,208,250.71,204.05,120.53,122.87,926,1222.19,968.44,131.99,126.2,51.77,62.4,50.79,58.57,77.3,61.25
500,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Thermal,10676,52350,3920,4275.3,3453.61,109.06,123.79,18465,18805.3,17377.4,101.84,108.22,49.35,53.83,43.48,59.07,60.16,55.59
501,Western Region,Maharashtra,Pvt Sector,MANGAON CCPP,NA,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
502,Western Region,Maharashtra,Pvt Sector,PGPL,Natural Gas,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
503,Western Region,Maharashtra,Pvt Sector,TROMBAY CCPP,NA,180,500,30,98.37,9.63,327.9,1021.5,182,332.82,202.51,182.87,164.35,NA,NA,NA,NA,NA,NA
504,Western Region,Maharashtra,Pvt Sector,TATA PCL,Natural Gas,180,500,30,98.37,9.63,327.9,1021.5,182,332.82,202.51,182.87,164.35,NA,NA,NA,NA,NA,NA
505,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Natural Gas,568,500,30,98.37,9.63,327.9,1021.5,182,332.82,202.51,182.87,164.35,NA,NA,NA,NA,NA,NA
506,Western Region,Maharashtra,Pvt Sector,BHANDARDHARA HPS ST-II,NA,34,36,7,8.72,2.89,124.57,301.73,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
507,Western Region,Maharashtra,Pvt Sector,DLHP,Hydro,34,36,7,8.72,2.89,124.57,301.73,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
508,Western Region,Maharashtra,Pvt Sector,BHIRA HPS,NA,150,452,49,44.96,52.09,91.76,86.31,155,167.05,128.9,107.77,129.6,NA,NA,NA,NA,NA,NA
509,Western Region,Maharashtra,Pvt Sector,BHIRA PSS HPS,NA,150,448,49,61.83,76.83,126.18,80.48,155,194.39,171.83,125.41,113.13,NA,NA,NA,NA,NA,NA
510,Western Region,Maharashtra,Pvt Sector,BHIVPURI HPS,NA,75,285,5,3.24,8.17,64.8,39.66,99,108.16,119.16,109.25,90.77,NA,NA,NA,NA,NA,NA
511,Western Region,Maharashtra,Pvt Sector,KHOPOLI HPS,NA,72,285,34,36.54,38.35,107.47,95.28,104,117.32,126.54,112.81,92.71,NA,NA,NA,NA,NA,NA
512,Western Region,Maharashtra,Pvt Sector,TATA MAH.,Hydro,447,1470,137,146.57,175.44,106.99,83.54,513,586.92,546.43,114.41,107.41,NA,NA,NA,NA,NA,NA
513,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Hydro,481,1506,144,155.29,178.33,107.84,87.08,536,606.17,562.77,113.09,107.71,NA,NA,NA,NA,NA,NA
514,Western Region,Maharashtra,Central Sector,MAUDA TPS,NA,2320,15600,1371,1210.75,1172.6,88.31,103.25,5829,4867.79,5087.37,83.51,95.68,79.43,70.14,67.93,85.81,71.66,74.89
515,Western Region,Maharashtra,Central Sector,SOLAPUR STPS,NA,1320,6900,555,600.19,384.17,108.14,156.23,2606,2096.23,2136.63,80.44,98.11,56.51,61.11,39.12,67.43,54.24,55.28
516,Western Region,Maharashtra,Central Sector,NTPC Ltd.,Coal,3640,22500,1926,1810.94,1556.77,94.03,116.33,8435,6964.02,7224,82.56,96.4,71.12,66.87,57.48,79.14,65.34,67.78
517,Western Region,Maharashtra,Central Sector,Central,Thermal,3640,22500,1926,1810.94,1556.77,94.03,116.33,8435,6964.02,7224,82.56,96.4,71.12,66.87,57.48,79.14,65.34,67.78
518,Western Region,Maharashtra,Central Sector,RATNAGIRI CCPP,NA,1967.08,1050,96,80.38,0,83.73,0,382,457.28,302.88,119.71,150.98,NA,NA,NA,NA,NA,NA
519,Western Region,Maharashtra,Central Sector,RGPPL,Natural Gas,1967.08,1050,96,80.38,0,83.73,0,382,457.28,302.88,119.71,150.98,NA,NA,NA,NA,NA,NA
520,Western Region,Maharashtra,Central Sector,CENTRAL,Natural Gas,1967.08,1050,96,80.38,0,83.73,0,382,457.28,302.88,119.71,150.98,NA,NA,NA,NA,NA,NA
521,Western Region,Maharashtra,Central Sector,TARAPUR,NA,1400,8151,759,806.77,700.93,106.29,115.1,2312,2580.58,3072.09,111.62,84,72.87,77.45,67.29,56.4,62.95,74.94
522,Western Region,Maharashtra,Central Sector,NPCIL,Nuclear,1400,8151,759,806.77,700.93,106.29,115.1,2312,2580.58,3072.09,111.62,84,72.87,77.45,67.29,56.4,62.95,74.94
523,Western Region,Maharashtra,Central Sector,Central,Nuclear,1400,8151,759,806.77,700.93,106.29,115.1,2312,2580.58,3072.09,111.62,84,72.87,77.45,67.29,56.4,62.95,74.94
524,Western Region,Maharashtra,Central Sector,Total,Thermal,23856,131000,9248,9975.28,8472.63,107.86,117.74,45665,44237.4,42901.12,96.87,103.11,51.2,56.2,47.74,65.15,63.33,61.42
525,Western Region,Maharashtra,Central Sector,Total,Nuclear,1400,8151,759,806.77,700.93,106.29,115.1,2312,2580.58,3072.09,111.62,84,72.87,77.45,67.29,56.4,62.95,74.94
526,Western Region,Maharashtra,Central Sector,Total,Natural Gas,3207.08,3650,271,180.18,122.64,66.49,146.92,1339,1169.84,1108.01,87.37,105.58,NA,NA,NA,NA,NA,NA
527,Western Region,Maharashtra,Central Sector,Total,Hydro,3047,5719,338,304.91,456.73,90.21,66.76,2030,2198.7,2368.81,108.31,92.82,NA,NA,NA,NA,NA,NA
528,Western Region,Maharashtra,Central Sector,Total,Maharashtra,31510.08,148520,10616,11267.14,9752.93,106.13,115.53,51346,50186.52,49450.03,97.74,101.49,NA,NA,NA,NA,NA,NA
529,Southern Region,Andhra Pradesh,State Sector,Dr. N.TATA RAO TPS,NA,1760,13500,992,918.65,776.54,92.61,118.3,4409,4129.34,3909.12,93.66,105.63,52.08,70.16,59.3,58.82,80.13,75.86
530,Southern Region,Andhra Pradesh,State Sector,RAYALASEEMA TPS,NA,1650,9500,723,796.23,730.04,110.13,109.07,3537,3563.31,3237.7,100.74,110.06,58.9,64.86,59.47,73.21,73.76,67.02
531,Southern Region,Andhra Pradesh,State Sector,APGENCO,Coal,3410,23000,1715,1714.88,1506.58,99.99,113.83,7946,7692.65,7146.82,96.81,107.64,54.75,67.59,59.38,64.46,77.05,71.58
532,Southern Region,Andhra Pradesh,State Sector,DAMODARAM SANJEEVAIAH TPS,NA,2400,9000,746,820.05,530.43,109.93,154.6,3525,3966.23,1876.52,112.52,211.36,41.78,46.31,44.56,50.16,53.42,40.06
533,Southern Region,Andhra Pradesh,State Sector,APPDCL,Coal,2400,9000,746,820.05,530.43,109.93,154.6,3525,3966.23,1876.52,112.52,211.36,41.78,46.31,44.56,50.16,53.42,40.06
534,Southern Region,Andhra Pradesh,State Sector,State Sector,Thermal,5810,32000,2461,2534.93,2037.01,103,124.44,11471,11658.88,9023.34,101.64,129.21,50.04,60.8,54.65,59.27,69.5,61.51
535,Southern Region,Andhra Pradesh,State Sector,JEGURUPADU CCPP PH I,NA,235.4,200,16,0,29.76,0,0,72,0,163.78,0,0,NA,NA,NA,NA,NA,NA
536,Southern Region,Andhra Pradesh,State Sector,APEPDCL,Natural Gas,235.4,200,16,0,29.76,0,0,72,0,163.78,0,0,NA,NA,NA,NA,NA,NA
537,Southern Region,Andhra Pradesh,State Sector,State Sector,Natural Gas,235.4,200,16,0,29.76,0,0,72,0,163.78,0,0,NA,NA,NA,NA,NA,NA
538,Southern Region,Andhra Pradesh,State Sector,LOWER SILERU HPS,NA,460,1084,92,88.83,115.09,96.55,77.18,317,341.99,355.99,107.88,96.07,NA,NA,NA,NA,NA,NA
539,Southern Region,Andhra Pradesh,State Sector,NAGARJUN SGR RBC EXTN. HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
