Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to March 2024 - Col (2),December` 2023 - Program - Col (3),December` 2023 - Actual - Col (4),December` 2023 - Actual Same Month 2022-23 - Col (5),December` 2023 - % of Program Col. (4/3) - Col (6),December` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to December` 2023 - Program - Col (8),April` 2023 to December` 2023 - Actual - Col (9),April` 2023 to December` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to December` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to December` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - December` 2023 - Program - Col (13),Plant Load Factor (%) - December` 2023 - Actual - Col (14),Plant Load Factor (%) - December` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to December` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual Same Peroid 2022-23 - Col (18)
93,Northern Region,Jammu and Kashmir,Central Sector,KISHANGANGA HPS,NA,330,1712,15,14.66,21.34,97.73,68.7,1485,1202.24,1295.15,80.96,92.83,NA,NA,NA,NA,NA,NA
94,Northern Region,Jammu and Kashmir,Central Sector,SALAL HPS,NA,690,3503,90,72.55,78.61,80.61,92.29,3075,3017.74,2922.19,98.14,103.27,NA,NA,NA,NA,NA,NA
95,Northern Region,Jammu and Kashmir,Central Sector,SEWA-II HPS,NA,120,507,9,10.1,9.25,112.22,109.19,408,435.58,368.28,106.76,118.27,NA,NA,NA,NA,NA,NA
96,Northern Region,Jammu and Kashmir,Central Sector,URI-I HPS,NA,480,2821,163,65.42,78.8,40.13,83.02,2344,2019.15,2217.46,86.14,91.06,NA,NA,NA,NA,NA,NA
97,Northern Region,Jammu and Kashmir,Central Sector,URI-II HPS,NA,240,1623,93,45.25,54.11,48.66,83.63,1246,1112.25,1202.27,89.27,92.51,NA,NA,NA,NA,NA,NA
98,Northern Region,Jammu and Kashmir,Central Sector,NHPC,Hydro,2250,12433,460,300.61,322.32,65.35,93.26,10594,9641.89,9951.85,91.01,96.89,NA,NA,NA,NA,NA,NA
99,Northern Region,Jammu and Kashmir,Central Sector,Central,Hydro,2250,12433,460,300.61,322.32,65.35,93.26,10594,9641.89,9951.85,91.01,96.89,NA,NA,NA,NA,NA,NA
100,Northern Region,Jammu and Kashmir,Central Sector,Total,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
101,Northern Region,Jammu and Kashmir,Central Sector,Total,Hydro,3360,17984,621,437.96,465.84,70.52,94.02,15583,13926.66,14433.2,89.37,96.49,NA,NA,NA,NA,NA,NA
102,Northern Region,Jammu and Kashmir,Central Sector,Total,Jammu and Kashmir,3535,17984,621,437.96,465.84,70.52,94.02,15583,13926.66,14433.2,89.37,96.49,NA,NA,NA,NA,NA,NA
103,Northern Region,Ladakh,Central Sector,CHUTAK HPS,NA,44,204,8,4.54,4.77,56.75,95.18,181,149.25,154.75,82.46,96.45,NA,NA,NA,NA,NA,NA
104,Northern Region,Ladakh,Central Sector,NIMMO BAZGO HPS,NA,45,226,12,13.46,11.81,112.17,113.97,199,198.14,205.09,99.57,96.61,NA,NA,NA,NA,NA,NA
105,Northern Region,Ladakh,Central Sector,NHPC,Hydro,89,430,20,18,16.58,90,108.56,380,347.39,359.84,91.42,96.54,NA,NA,NA,NA,NA,NA
106,Northern Region,Ladakh,Central Sector,Central,Hydro,89,430,20,18,16.58,90,108.56,380,347.39,359.84,91.42,96.54,NA,NA,NA,NA,NA,NA
107,Northern Region,Ladakh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
108,Northern Region,Ladakh,Central Sector,Total,Hydro,89,430,20,18,16.58,90,108.56,380,347.39,359.84,91.42,96.54,NA,NA,NA,NA,NA,NA
109,Northern Region,Ladakh,Central Sector,Total,Ladakh,89,430,20,18,16.58,90,108.56,380,347.39,359.84,91.42,96.54,NA,NA,NA,NA,NA,NA
110,Northern Region,Punjab,State Sector,GH TPS (LEH. MOH.),NA,920,3150,243,459.09,437.98,188.93,104.82,2501,3360.09,2817.21,134.35,119.27,35.5,67.07,63.99,41.19,55.34,46.4
111,Northern Region,Punjab,State Sector,ROPAR TPS,NA,840,3200,237,348.17,308.65,146.91,112.8,2389,2888.85,2605.72,120.92,110.87,37.92,55.71,49.39,43.09,52.11,47
112,Northern Region,Punjab,State Sector,PSPCL,Coal,1760,6350,480,807.26,746.63,168.18,108.12,4890,6248.94,5422.93,127.79,115.23,36.66,61.65,57.02,42.1,53.8,46.69
113,Northern Region,Punjab,State Sector,State Sector,Thermal,1760,6350,480,807.26,746.63,168.18,108.12,4890,6248.94,5422.93,127.79,115.23,36.66,61.65,57.02,42.1,53.8,46.69
114,Northern Region,Punjab,State Sector,ANANDPUR SAHIB-I HPS,NA,67,265,12,17.08,35.77,142.33,47.75,230,213.07,208.91,92.64,101.99,NA,NA,NA,NA,NA,NA
115,Northern Region,Punjab,State Sector,ANANDPUR SAHIB-II HPS,NA,67,265,12,15.96,33.63,133,47.46,230,213.43,216.78,92.8,98.45,NA,NA,NA,NA,NA,NA
116,Northern Region,Punjab,State Sector,MUKERIAN-I HPS,NA,45,234,26,24.72,23.87,95.08,103.56,170,183.69,596.94,108.05,30.77,NA,NA,NA,NA,NA,NA
117,Northern Region,Punjab,State Sector,MUKERIAN-II HPS,NA,45,234,26,24.75,24.15,95.19,102.48,170,189.82,76.01,111.66,249.73,NA,NA,NA,NA,NA,NA
118,Northern Region,Punjab,State Sector,MUKERIAN-III HPS,NA,58.5,306,34,28.4,31.01,83.53,91.58,224,236.42,97.75,105.54,241.86,NA,NA,NA,NA,NA,NA
119,Northern Region,Punjab,State Sector,MUKERIAN-IV HPS,NA,58.5,306,34,29.74,30.99,87.47,95.97,224,192.06,96.85,85.74,198.31,NA,NA,NA,NA,NA,NA
120,Northern Region,Punjab,State Sector,RANJIT SAGAR HPS,NA,600,1580,100,165.38,88.31,165.38,187.27,1340,1740.06,1247.62,129.86,139.47,NA,NA,NA,NA,NA,NA
121,Northern Region,Punjab,State Sector,PSPCL,Hydro,941,3190,244,306.03,267.73,125.42,114.31,2588,2968.55,2540.86,114.7,116.83,NA,NA,NA,NA,NA,NA
122,Northern Region,Punjab,State Sector,State Sector,Hydro,941,3190,244,306.03,267.73,125.42,114.31,2588,2968.55,2540.86,114.7,116.83,NA,NA,NA,NA,NA,NA
123,Northern Region,Punjab,State Sector,GOINDWAL SAHIB TPP,NA,540,3000,242,239.63,189.12,99.02,126.71,2260,1809.15,1414.1,80.05,127.94,60.23,59.65,47.07,63.41,50.76,39.68
124,Northern Region,Punjab,State Sector,GPGSL (GVK),Coal,540,3000,242,239.63,189.12,99.02,126.71,2260,1809.15,1414.1,80.05,127.94,60.23,59.65,47.07,63.41,50.76,39.68
125,Northern Region,Punjab,Pvt Sector,RAJPURA TPP,NA,1400,10400,605,724.47,773.01,119.75,93.72,7968,7800.02,7917.86,97.89,98.51,58.08,69.55,74.21,86.23,84.42,85.69
