Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to March 2024 - Col (2),December` 2023 - Program - Col (3),December` 2023 - Actual - Col (4),December` 2023 - Actual Same Month 2022-23 - Col (5),December` 2023 - % of Program Col. (4/3) - Col (6),December` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to December` 2023 - Program - Col (8),April` 2023 to December` 2023 - Actual - Col (9),April` 2023 to December` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to December` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to December` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - December` 2023 - Program - Col (13),Plant Load Factor (%) - December` 2023 - Actual - Col (14),Plant Load Factor (%) - December` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to December` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual Same Peroid 2022-23 - Col (18)
406,Western Region,Madhya Pradesh,State Sector,MPPGCL,Coal,5400,27650,2445,2563.48,2757.3,104.85,92.97,20243,21142.76,19856.32,104.44,106.48,60.86,63.81,68.63,56.8,59.32,55.71
407,Western Region,Madhya Pradesh,State Sector,State Sector,Thermal,5400,27650,2445,2563.48,2757.3,104.85,92.97,20243,21142.76,19856.32,104.44,106.48,60.86,63.81,68.63,56.8,59.32,55.71
408,Western Region,Madhya Pradesh,State Sector,BANSAGAR-II HPS,NA,30,90,7,11.59,8.58,165.57,135.08,69,76.67,54.47,111.12,140.76,NA,NA,NA,NA,NA,NA
409,Western Region,Madhya Pradesh,State Sector,BANSAGAR-III HPS,NA,60,98,0,0,0,0,0,98,147,124.46,150,118.11,NA,NA,NA,NA,NA,NA
410,Western Region,Madhya Pradesh,State Sector,BANSAGAR TONS-I HPS,NA,315,1000,80,75.47,69.75,94.34,108.2,760,600.74,526.13,79.04,114.18,NA,NA,NA,NA,NA,NA
411,Western Region,Madhya Pradesh,State Sector,BARGI HPS,NA,90,420,35,25.86,10.42,73.89,248.18,315,381.21,331.26,121.02,115.08,NA,NA,NA,NA,NA,NA
412,Western Region,Madhya Pradesh,State Sector,GANDHI SAGAR HPS,NA,115,270,30,37.53,40.19,125.1,93.38,185,179.84,172.81,97.21,104.07,NA,NA,NA,NA,NA,NA
413,Western Region,Madhya Pradesh,State Sector,MADHIKHERA HPS,NA,60,116,11,6.46,20.22,58.73,31.95,96,45.82,139.18,47.73,32.92,NA,NA,NA,NA,NA,NA
414,Western Region,Madhya Pradesh,State Sector,RAJGHAT HPS,NA,45,88,10,15.59,8.41,155.9,185.37,73,75.13,94.95,102.92,79.13,NA,NA,NA,NA,NA,NA
415,Western Region,Madhya Pradesh,State Sector,MPPGCL,Hydro,715,2082,173,172.5,157.57,99.71,109.48,1596,1506.41,1443.26,94.39,104.38,NA,NA,NA,NA,NA,NA
416,Western Region,Madhya Pradesh,State Sector,State Sector,Hydro,715,2082,173,172.5,157.57,99.71,109.48,1596,1506.41,1443.26,94.39,104.38,NA,NA,NA,NA,NA,NA
417,Western Region,Madhya Pradesh,Pvt Sector,NIWARI TPP,NA,90,600,52,47.6,47.52,91.54,100.17,442,405.83,210.47,91.82,192.82,77.66,71.09,70.97,74.41,68.32,35.43
418,Western Region,Madhya Pradesh,Pvt Sector,BLAPPL,Coal,90,600,52,47.6,47.52,91.54,100.17,442,405.83,210.47,91.82,192.82,77.66,71.09,70.97,74.41,68.32,35.43
419,Western Region,Madhya Pradesh,Pvt Sector,MAHAN TPP,NA,1200,6000,511,716.69,305.6,140.25,234.52,4453,4995.28,2558.09,112.18,195.27,57.24,80.27,34.23,56.22,63.07,32.3
420,Western Region,Madhya Pradesh,Pvt Sector,ESSARPMPL,Coal,1200,6000,511,716.69,305.6,140.25,234.52,4453,4995.28,2558.09,112.18,195.27,57.24,80.27,34.23,56.22,63.07,32.3
421,Western Region,Madhya Pradesh,Pvt Sector,BINA TPS,NA,500,3350,289,316.95,272.8,109.67,116.18,2447,2448.22,2104.59,100.05,116.33,77.69,85.2,73.33,74.15,74.19,63.78
422,Western Region,Madhya Pradesh,Pvt Sector,NIGRI TPP,NA,1320,9100,802,821.02,610.44,102.37,134.5,6766,7296.66,6628.13,107.84,110.09,81.66,83.6,62.16,77.66,83.75,76.08
423,Western Region,Madhya Pradesh,Pvt Sector,JPPVL,Coal,1820,12450,1091,1137.97,883.24,104.31,128.84,9213,9744.88,8732.72,105.77,111.59,80.57,84.04,65.23,76.7,81.13,72.7
424,Western Region,Madhya Pradesh,Pvt Sector,ANUPPUR TPP,NA,1250,8000,525,586.68,658.14,111.75,89.14,6059,6502.78,5698.21,107.32,114.12,58.8,63.08,70.77,76.5,78.82,69.07
425,Western Region,Madhya Pradesh,Pvt Sector,MBPMPL,Coal,1250,8000,525,586.68,658.14,111.75,89.14,6059,6502.78,5698.21,107.32,114.12,58.8,63.08,70.77,76.5,78.82,69.07
426,Western Region,Madhya Pradesh,Pvt Sector,SASAN UMTPP,NA,3960,32400,2825,2871.98,2428.2,101.66,118.28,24107,24117.86,22798.54,100.05,105.79,95.88,97.48,82.42,92.24,92.28,87.23
427,Western Region,Madhya Pradesh,Pvt Sector,SPL,Coal,3960,32400,2825,2871.98,2428.2,101.66,118.28,24107,24117.86,22798.54,100.05,105.79,95.88,97.48,82.42,92.24,92.28,87.23
428,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Thermal,8320,59450,5004,5360.92,4322.7,107.13,124.02,44274,45766.63,39998.03,103.37,114.42,81.35,86.61,69.83,81.15,83.35,72.84
429,Western Region,Madhya Pradesh,Pvt Sector,MAHESHWAR HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
430,Western Region,Madhya Pradesh,Pvt Sector,SMHPCL,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
431,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
432,Western Region,Madhya Pradesh,Central Sector,SEIONI TPP,NA,600,3800,315,311.7,288.5,98.95,108.04,2975,2626.53,2845.29,88.29,92.31,70.56,69.83,64.63,75.13,66.33,71.85
433,Western Region,Madhya Pradesh,Central Sector,JHAPL,Coal,600,3800,315,311.7,288.5,98.95,108.04,2975,2626.53,2845.29,88.29,92.31,70.56,69.83,64.63,75.13,66.33,71.85
434,Western Region,Madhya Pradesh,Central Sector,GADARWARA TPP,NA,1600,10500,716,943.24,938.19,131.74,100.54,7589,7258.72,7098.11,95.65,102.26,60.15,79.24,78.81,71.87,68.74,67.22
435,Western Region,Madhya Pradesh,Central Sector,KHARGONE STPP,NA,1320,8500,694,658.78,492.03,94.93,133.89,6566,5600.89,3991.75,85.3,140.31,70.67,67.08,50.1,75.37,64.29,45.82
436,Western Region,Madhya Pradesh,Central Sector,VINDHYACHAL STPS,NA,4760,38500,3331,3233.63,3251.86,97.08,99.44,28835,27951.73,28250.06,96.94,98.94,94.06,91.31,91.82,91.78,88.97,89.92
437,Western Region,Madhya Pradesh,Central Sector,NTPC Ltd.,Coal,7680,57500,4741,4835.65,4682.08,102,103.28,42990,40811.34,39339.92,94.93,103.74,82.97,84.63,81.94,84.81,80.51,77.61
438,Western Region,Madhya Pradesh,Central Sector,CENTRAL,Thermal,8280,61300,5056,5147.35,4970.58,101.81,103.56,45965,43437.87,42185.21,94.5,102.97,82.07,83.56,80.69,84.11,79.49,77.19
439,Western Region,Madhya Pradesh,Central Sector,INDIRA SAGAR HPS,NA,1000,2150,159,133.03,170.55,83.67,78,1722,2550.92,2992.75,148.14,85.24,NA,NA,NA,NA,NA,NA
440,Western Region,Madhya Pradesh,Central Sector,OMKARESHWAR HPS,NA,520,1115,91,56.53,72.48,62.12,77.99,887,1255.94,1451.45,141.59,86.53,NA,NA,NA,NA,NA,NA
441,Western Region,Madhya Pradesh,Central Sector,NHDC,Hydro,1520,3265,250,189.56,243.03,75.82,78,2609,3806.86,4444.2,145.91,85.66,NA,NA,NA,NA,NA,NA
442,Western Region,Madhya Pradesh,Central Sector,Central,Hydro,1520,3265,250,189.56,243.03,75.82,78,2609,3806.86,4444.2,145.91,85.66,NA,NA,NA,NA,NA,NA
443,Western Region,Madhya Pradesh,Central Sector,Total,Thermal,22000,148400,12505,13071.75,12050.58,104.53,108.47,110482,110347.26,102039.56,99.88,108.14,76.57,79.86,73.62,76.27,76,70.28
444,Western Region,Madhya Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
445,Western Region,Madhya Pradesh,Central Sector,Total,Hydro,2235,5347,423,362.06,400.6,85.59,90.38,4205,5313.27,5887.46,126.36,90.25,NA,NA,NA,NA,NA,NA
446,Western Region,Madhya Pradesh,Central Sector,Total,Madhya Pradesh,24235,153747,12928,13433.81,12451.18,103.91,107.89,114687,115660.53,107927.02,100.85,107.17,NA,NA,NA,NA,NA,NA
447,Western Region,Maharashtra,State Sector,BHUSAWAL TPS,NA,1210,8600,762,620.1,665.38,81.38,93.19,6244,5738.03,4850.54,91.9,118.3,65.76,68.88,73.91,66.04,71.85,60.74
448,Western Region,Maharashtra,State Sector,CHANDRAPUR (MAHARASHTRA) STPS,NA,2920,18600,1635,1307.12,1232.88,79.95,106.02,13596,11914.64,11245.94,87.63,105.95,75.26,60.17,56.75,70.55,61.82,58.35
449,Western Region,Maharashtra,State Sector,KHAPARKHEDA TPS,NA,1340,7500,640,699.27,668.58,109.26,104.59,5608,6025.26,5739.93,107.44,104.97,64.2,70.14,67.06,63.41,68.13,64.9
450,Western Region,Maharashtra,State Sector,KORADI TPS,NA,2190,11650,1018,1233.94,1348.95,121.21,91.47,8556,9354.49,8769.68,109.33,106.67,62.48,75.73,82.79,59.19,64.72,60.67
451,Western Region,Maharashtra,State Sector,NASIK TPS,NA,630,3000,245,176.68,331.22,72.11,53.34,2237,2016.35,2055.83,90.14,98.08,52.27,37.69,70.66,53.8,48.49,49.44
452,Western Region,Maharashtra,State Sector,PARAS TPS,NA,500,3200,272,310.07,279,114,111.14,2368,2589.23,2186.37,109.34,118.43,73.12,83.35,75,71.76,78.46,66.25
453,Western Region,Maharashtra,State Sector,PARLI TPS,NA,750,3600,300,240.83,384.48,80.28,62.64,2687,3029.5,3017.47,112.75,100.4,53.76,43.16,68.9,54.28,61.2,60.96
454,Western Region,Maharashtra,State Sector,MAHAGENCO,Coal,9540,56150,4872,4588.01,4910.49,94.17,93.43,41296,40667.5,37865.76,98.48,107.4,66.25,64.64,69.18,64.05,64.59,60.14
455,Western Region,Maharashtra,State Sector,State Sector,Thermal,9540,56150,4872,4588.01,4910.49,94.17,93.43,41296,40667.5,37865.76,98.48,107.4,66.25,64.64,69.18,64.05,64.59,60.14
456,Western Region,Maharashtra,State Sector,URAN CCPP,NA,672,2100,156,201.4,126.08,129.1,159.74,1574,1147.44,1113.03,72.9,103.09,NA,NA,NA,NA,NA,NA
457,Western Region,Maharashtra,State Sector,MAHAGENCO,Natural Gas,672,2100,156,201.4,126.08,129.1,159.74,1574,1147.44,1113.03,72.9,103.09,NA,NA,NA,NA,NA,NA
458,Western Region,Maharashtra,State Sector,State Sector,Natural Gas,672,2100,156,201.4,126.08,129.1,159.74,1574,1147.44,1113.03,72.9,103.09,NA,NA,NA,NA,NA,NA
459,Western Region,Maharashtra,State Sector,BHIRA TAIL RACE HPS,NA,80,85,6,0,6.6,0,0,69,75.31,76.1,109.14,98.96,NA,NA,NA,NA,NA,NA
460,Western Region,Maharashtra,State Sector,GHATGHAR PSS HPS,NA,250,384,18,17.09,18.41,94.94,92.83,282,56.77,67.33,20.13,84.32,NA,NA,NA,NA,NA,NA
461,Western Region,Maharashtra,State Sector,KOYNA DPH HPS,NA,36,130,8,12.28,10.26,153.5,119.69,93,101.24,109.62,108.86,92.36,NA,NA,NA,NA,NA,NA
462,Western Region,Maharashtra,State Sector,KOYNA-I&II HPS,NA,600,800,50,48.24,113.08,96.48,42.66,583,802.23,908.13,137.6,88.34,NA,NA,NA,NA,NA,NA
463,Western Region,Maharashtra,State Sector,KOYNA-III HPS,NA,320,568,35,13.89,49.54,39.69,28.04,427,457.11,695.97,107.05,65.68,NA,NA,NA,NA,NA,NA
464,Western Region,Maharashtra,State Sector,KOYNA-IV HPS,NA,1000,1667,135,11.12,115.13,8.24,9.66,1187,1127.2,885.31,94.96,127.32,NA,NA,NA,NA,NA,NA
465,Western Region,Maharashtra,State Sector,TILLARI HPS,NA,60,110,11,0,14.52,0,0,77,23.26,100.09,30.21,23.24,NA,NA,NA,NA,NA,NA
466,Western Region,Maharashtra,State Sector,VAITARNA HPS,NA,60,144,0,0,0,0,0,66,107.71,110.7,163.2,97.3,NA,NA,NA,NA,NA,NA
467,Western Region,Maharashtra,State Sector,MAHAGENCO,Hydro,2406,3888,263,102.62,327.54,39.02,31.33,2784,2750.83,2953.25,98.81,93.15,NA,NA,NA,NA,NA,NA
468,Western Region,Maharashtra,State Sector,PENCH HPS,NA,160,325,28,19.51,19.02,69.68,102.58,271,316.4,288.51,116.75,109.67,NA,NA,NA,NA,NA,NA
469,Western Region,Maharashtra,State Sector,MPPGCL,Hydro,160,325,28,19.51,19.02,69.68,102.58,271,316.4,288.51,116.75,109.67,NA,NA,NA,NA,NA,NA
470,Western Region,Maharashtra,State Sector,State Sector,Hydro,2566,4213,291,122.13,346.56,41.97,35.24,3055,3067.23,3241.76,100.4,94.62,NA,NA,NA,NA,NA,NA
471,Western Region,Maharashtra,Pvt Sector,DAHANU TPS,NA,500,3800,176,224.89,300.48,127.78,74.84,2850,2475.39,2602.97,86.86,95.1,47.31,60.45,80.77,86.36,75.01,78.88
472,Western Region,Maharashtra,Pvt Sector,AEML,Coal,500,3800,176,224.89,300.48,127.78,74.84,2850,2475.39,2602.97,86.86,95.1,47.31,60.45,80.77,86.36,75.01,78.88
473,Western Region,Maharashtra,Pvt Sector,MIHAN TPS,NA,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Western Region,Maharashtra,Pvt Sector,AMNEPL,Coal,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,Western Region,Maharashtra,Pvt Sector,TIRORA TPS,NA,3300,23800,2136,1550.93,1781.34,72.61,87.07,17938,15712,16638.62,87.59,94.43,87,63.17,72.55,82.36,72.14,76.39
476,Western Region,Maharashtra,Pvt Sector,APL,Coal,3300,23800,2136,1550.93,1781.34,72.61,87.07,17938,15712,16638.62,87.59,94.43,87,63.17,72.55,82.36,72.14,76.39
477,Western Region,Maharashtra,Pvt Sector,DHARIWAL TPP,NA,600,3700,324,201.94,374.01,62.33,53.99,2850,3231.28,3181.29,113.38,101.57,72.58,45.24,83.78,71.97,81.6,80.34
478,Western Region,Maharashtra,Pvt Sector,DIL,Coal,600,3700,324,201.94,374.01,62.33,53.99,2850,3231.28,3181.29,113.38,101.57,72.58,45.24,83.78,71.97,81.6,80.34
479,Western Region,Maharashtra,Pvt Sector,GEPL TPP Ph-I,NA,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Western Region,Maharashtra,Pvt Sector,GEPL,Coal,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Western Region,Maharashtra,Pvt Sector,GMR WARORA TPS,NA,600,4200,200,398.52,395.74,199.26,100.7,3043,3320.12,3145.52,109.11,105.55,44.8,89.27,88.65,76.84,83.84,79.43
482,Western Region,Maharashtra,Pvt Sector,GMR ENERG,Coal,600,4200,200,398.52,395.74,199.26,100.7,3043,3320.12,3145.52,109.11,105.55,44.8,89.27,88.65,76.84,83.84,79.43
483,Western Region,Maharashtra,Pvt Sector,BELA TPS,NA,270,1000,72,157.4,119.02,218.61,132.25,760,1309.91,331.45,172.36,395.21,35.84,78.36,59.25,42.65,73.51,18.6
484,Western Region,Maharashtra,Pvt Sector,IEPL,Coal,270,1000,72,157.4,119.02,218.61,132.25,760,1309.91,331.45,172.36,395.21,35.84,78.36,59.25,42.65,73.51,18.6
485,Western Region,Maharashtra,Pvt Sector,JSW RATNAGIRI TPP,NA,300,1000,76,173.1,11.07,227.76,1563.69,791,1463.85,229.74,185.06,637.18,34.05,77.55,4.96,39.95,73.93,11.6
486,Western Region,Maharashtra,Pvt Sector,JSWEL,Coal,300,1000,76,173.1,11.07,227.76,1563.69,791,1463.85,229.74,185.06,637.18,34.05,77.55,4.96,39.95,73.93,11.6
487,Western Region,Maharashtra,Pvt Sector,LANCO VIDARBHA TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Western Region,Maharashtra,Pvt Sector,LVTPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Western Region,Maharashtra,Pvt Sector,AMRAVATI TPS,NA,1350,8550,759,796.34,855.22,104.92,93.12,6290,7105.81,6568.03,112.97,108.19,75.57,79.29,85.15,70.59,79.75,73.72
490,Western Region,Maharashtra,Pvt Sector,RATTANINDIA,Coal,1350,8550,759,796.34,855.22,104.92,93.12,6290,7105.81,6568.03,112.97,108.19,75.57,79.29,85.15,70.59,79.75,73.72
491,Western Region,Maharashtra,Pvt Sector,SHIRPUR TPP,NA,300,0,0,24.38,0,0,0,0,93.78,0,0,0,0,21.85,0,0,9.47,0
492,Western Region,Maharashtra,Pvt Sector,SPPL,Coal,300,0,0,24.38,0,0,0,0,93.78,0,0,0,0,21.85,0,0,9.47,0
493,Western Region,Maharashtra,Pvt Sector,NASIK (P) TPS,NA,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Western Region,Maharashtra,Pvt Sector,STPL,Coal,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,Western Region,Maharashtra,Pvt Sector,TROMBAY TPS,NA,750,3700,235,365.87,344.05,155.69,106.34,2802,3210.19,3321.64,114.57,96.64,42.11,65.57,61.66,56.61,64.85,67.1
496,Western Region,Maharashtra,Pvt Sector,TATA PCL,Coal,750,3700,235,365.87,344.05,155.69,106.34,2802,3210.19,3321.64,114.57,96.64,42.11,65.57,61.66,56.61,64.85,67.1
497,Western Region,Maharashtra,Pvt Sector,BUTIBORI TPP,NA,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Western Region,Maharashtra,Pvt Sector,VIP,Coal,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Western Region,Maharashtra,Pvt Sector,WARDHA WARORA TPP,NA,540,2600,214,328.53,260.86,153.52,125.94,1942,2753.51,1991.45,141.79,138.27,53.27,81.77,64.93,54.49,77.26,55.88
500,Western Region,Maharashtra,Pvt Sector,WPCL,Coal,540,2600,214,328.53,260.86,153.52,125.94,1942,2753.51,1991.45,141.79,138.27,53.27,81.77,64.93,54.49,77.26,55.88
501,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Thermal,10826,52350,4192,4221.9,4441.79,100.71,95.05,39266,40675.84,38010.71,103.59,107.01,52.78,53.15,55.92,55.73,57.73,53.95
502,Western Region,Maharashtra,Pvt Sector,MANGAON CCPP,NA,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
503,Western Region,Maharashtra,Pvt Sector,PGPL,Natural Gas,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
504,Western Region,Maharashtra,Pvt Sector,TROMBAY CCPP,NA,180,500,36,48.37,50.75,134.36,95.31,374,673.67,430.17,180.13,156.61,NA,NA,NA,NA,NA,NA
505,Western Region,Maharashtra,Pvt Sector,TATA PCL,Natural Gas,180,500,36,48.37,50.75,134.36,95.31,374,673.67,430.17,180.13,156.61,NA,NA,NA,NA,NA,NA
506,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Natural Gas,568,500,36,48.37,50.75,134.36,95.31,374,673.67,430.17,180.13,156.61,NA,NA,NA,NA,NA,NA
507,Western Region,Maharashtra,Pvt Sector,BHANDARDHARA HPS ST-II,NA,34,36,0,0,0,0,0,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
508,Western Region,Maharashtra,Pvt Sector,DLHP,Hydro,34,36,0,0,0,0,0,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
509,Western Region,Maharashtra,Pvt Sector,BHIRA HPS,NA,150,452,31,25.81,25.1,83.26,102.83,349,358.74,317.44,102.79,113.01,NA,NA,NA,NA,NA,NA
510,Western Region,Maharashtra,Pvt Sector,BHIRA PSS HPS,NA,150,448,30,23.79,39.31,79.3,60.52,346,417.56,442.06,120.68,94.46,NA,NA,NA,NA,NA,NA
511,Western Region,Maharashtra,Pvt Sector,BHIVPURI HPS,NA,75,285,29,36.28,38.26,125.1,94.82,189,209.87,235.25,111.04,89.21,NA,NA,NA,NA,NA,NA
512,Western Region,Maharashtra,Pvt Sector,KHOPOLI HPS,NA,72,285,20,24.62,15.73,123.1,156.52,220,220.54,235.65,100.25,93.59,NA,NA,NA,NA,NA,NA
513,Western Region,Maharashtra,Pvt Sector,TATA MAH.,Hydro,447,1470,110,110.5,118.4,100.45,93.33,1104,1206.71,1230.4,109.3,98.07,NA,NA,NA,NA,NA,NA
514,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Hydro,481,1506,110,110.5,118.4,100.45,93.33,1127,1225.96,1246.74,108.78,98.33,NA,NA,NA,NA,NA,NA
515,Western Region,Maharashtra,Central Sector,MAUDA TPS,NA,2320,15600,1261,1083.49,1153.31,85.92,93.95,11784,10713.9,10521.64,90.92,101.83,73.06,62.77,66.82,76.96,69.97,68.71
516,Western Region,Maharashtra,Central Sector,SOLAPUR STPS,NA,1320,6900,572,505.74,529.66,88.42,95.48,5155,5432.38,3998.13,105.38,135.87,58.24,51.5,53.93,59.17,62.36,45.89
517,Western Region,Maharashtra,Central Sector,NTPC Ltd.,Coal,3640,22500,1833,1589.23,1682.97,86.7,94.43,16939,16146.28,14519.77,95.32,111.2,67.68,58.68,62.14,70.51,67.21,60.44
518,Western Region,Maharashtra,Central Sector,Central,Thermal,3640,22500,1833,1589.23,1682.97,86.7,94.43,16939,16146.28,14519.77,95.32,111.2,67.68,58.68,62.14,70.51,67.21,60.44
519,Western Region,Maharashtra,Central Sector,RATNAGIRI CCPP,NA,1967.08,1050,96,0,0,0,0,768,835.07,302.88,108.73,275.71,NA,NA,NA,NA,NA,NA
520,Western Region,Maharashtra,Central Sector,RGPPL,Natural Gas,1967.08,1050,96,0,0,0,0,768,835.07,302.88,108.73,275.71,NA,NA,NA,NA,NA,NA
521,Western Region,Maharashtra,Central Sector,CENTRAL,Natural Gas,1967.08,1050,96,0,0,0,0,768,835.07,302.88,108.73,275.71,NA,NA,NA,NA,NA,NA
522,Western Region,Maharashtra,Central Sector,TARAPUR,NA,1400,8151,769,613.45,676.42,79.77,90.69,6071,6368.97,6863.05,104.91,92.8,73.83,58.89,64.94,65.7,68.93,74.28
523,Western Region,Maharashtra,Central Sector,NPCIL,Nuclear,1400,8151,769,613.45,676.42,79.77,90.69,6071,6368.97,6863.05,104.91,92.8,73.83,58.89,64.94,65.7,68.93,74.28
524,Western Region,Maharashtra,Central Sector,Central,Nuclear,1400,8151,769,613.45,676.42,79.77,90.69,6071,6368.97,6863.05,104.91,92.8,73.83,58.89,64.94,65.7,68.93,74.28
525,Western Region,Maharashtra,Central Sector,Total,Thermal,24006,131000,10897,10399.14,11035.25,95.43,94.24,97501,97489.62,90396.24,99.99,107.85,60.44,58.59,62.17,61.31,61.92,57.41
526,Western Region,Maharashtra,Central Sector,Total,Nuclear,1400,8151,769,613.45,676.42,79.77,90.69,6071,6368.97,6863.05,104.91,92.8,73.83,58.89,64.94,65.7,68.93,74.28
527,Western Region,Maharashtra,Central Sector,Total,Natural Gas,3207.08,3650,288,249.77,176.83,86.73,141.25,2716,2656.18,1846.08,97.8,143.88,NA,NA,NA,NA,NA,NA
528,Western Region,Maharashtra,Central Sector,Total,Hydro,3047,5719,401,232.63,464.96,58.01,50.03,4182,4293.19,4488.5,102.66,95.65,NA,NA,NA,NA,NA,NA
529,Western Region,Maharashtra,Central Sector,Total,Maharashtra,31660.08,148520,12355,11494.99,12353.46,93.04,93.05,110470,110807.96,103593.87,100.31,106.96,NA,NA,NA,NA,NA,NA
530,Southern Region,Andhra Pradesh,State Sector,Dr. N.TATA RAO TPS,NA,2560,13500,1222,895.09,894.8,73.25,100.03,9632,8639.7,7935.23,89.7,108.88,64.16,58.22,68.33,57.01,73.24,68.31
531,Southern Region,Andhra Pradesh,State Sector,RAYALASEEMA TPS,NA,1650,9500,755,776.34,865.3,102.83,89.72,7138,7658.25,6706.72,107.29,114.19,61.5,63.24,70.49,65.55,70.32,61.59
532,Southern Region,Andhra Pradesh,State Sector,APGENCO,Coal,4210,23000,1977,1671.43,1760.1,84.54,94.96,16770,16297.95,14641.95,97.19,111.31,63.12,60.65,69.38,60.35,71.83,65.06
533,Southern Region,Andhra Pradesh,State Sector,DAMODARAM SANJEEVAIAH TPS,NA,2400,9000,502,681.09,512.01,135.68,133.02,6636,7247.2,4422.03,109.21,163.89,28.11,37.86,43.01,41.89,47.05,41.88
534,Southern Region,Andhra Pradesh,State Sector,APPDCL,Coal,2400,9000,502,681.09,512.01,135.68,133.02,6636,7247.2,4422.03,109.21,163.89,28.11,37.86,43.01,41.89,47.05,41.88
535,Southern Region,Andhra Pradesh,State Sector,State Sector,Thermal,6610,32000,2479,2352.52,2272.11,94.9,103.54,23406,23545.15,19063.98,100.59,123.51,50.41,53.37,60.96,53.65,63.91,57.65
536,Southern Region,Andhra Pradesh,State Sector,JEGURUPADU CCPP PH I,NA,235.4,200,16,0,0,0,0,152,0,244.66,0,0,NA,NA,NA,NA,NA,NA
537,Southern Region,Andhra Pradesh,State Sector,APEPDCL,Natural Gas,235.4,200,16,0,0,0,0,152,0,244.66,0,0,NA,NA,NA,NA,NA,NA
538,Southern Region,Andhra Pradesh,State Sector,State Sector,Natural Gas,235.4,200,16,0,0,0,0,152,0,244.66,0,0,NA,NA,NA,NA,NA,NA
539,Southern Region,Andhra Pradesh,State Sector,LOWER SILERU HPS,NA,460,1084,94,91.63,38.18,97.48,239.99,779,815.18,795.68,104.64,102.45,NA,NA,NA,NA,NA,NA
540,Southern Region,Andhra Pradesh,State Sector,NAGARJUN SGR RBC EXTN. HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
541,Southern Region,Andhra Pradesh,State Sector,NAGARJUN SGR RBC HPS,NA,90,128,15,0,39.17,0,0,108,0.09,217.02,0.08,0.04,NA,NA,NA,NA,NA,NA
542,Southern Region,Andhra Pradesh,State Sector,NAGARJUN SGR TPD,NA,50,90,16,0.01,16.98,0.06,0.06,73,0.68,85.45,0.93,0.8,NA,NA,NA,NA,NA,NA
543,Southern Region,Andhra Pradesh,State Sector,SRISAILAM HPS,NA,770,1047,30,0.02,71.7,0.07,0.03,846,6.07,1778.73,0.72,0.34,NA,NA,NA,NA,NA,NA
544,Southern Region,Andhra Pradesh,State Sector,UPPER SILERU HPS,NA,240,470,34,34.48,44.07,101.41,78.24,312,290.48,251.42,93.1,115.54,NA,NA,NA,NA,NA,NA
545,Southern Region,Andhra Pradesh,State Sector,APGENCO,Hydro,1610,2819,189,126.14,210.1,66.74,60.04,2118,1112.5,3128.3,52.53,35.56,NA,NA,NA,NA,NA,NA
546,Southern Region,Andhra Pradesh,State Sector,State Sector,Hydro,1610,2819,189,126.14,210.1,66.74,60.04,2118,1112.5,3128.3,52.53,35.56,NA,NA,NA,NA,NA,NA
