Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),September` 2023 - Program - Col (3),September` 2023 - Actual - Col (4),September` 2023 - Actual Same Month 2022-23 - Col (5),September` 2023 - % of Program Col. (4/3) - Col (6),September` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to September` 2023 - Program - Col (8),April` 2023 to September` 2023 - Actual - Col (9),April` 2023 to September` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to September` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to September` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - September` 2023 - Program - Col (13),Plant Load Factor (%) - September` 2023 - Actual - Col (14),Plant Load Factor (%) - September` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to September` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual Same Peroid 2022-23 - Col (18)
397,Western Region,Gujarat,Central Sector,Total,Thermal,16092,59200,4361,6923.22,4276.08,158.75,161.91,30097,35202.55,28863.98,116.96,121.96,37.64,59.75,36.91,42.58,49.81,40.84
398,Western Region,Gujarat,Central Sector,Total,Nuclear,1140,9014,784,803.87,319.29,102.53,251.77,4110,3077.82,1926.11,74.89,159.79,65.06,97.94,100.79,67.11,88.49,99.67
399,Western Region,Gujarat,Central Sector,Total,Natural Gas,7551.41,4730,394,880.77,38.38,223.55,2294.87,2398,4772.73,1123.78,199.03,424.7,NA,NA,NA,NA,NA,NA
400,Western Region,Gujarat,Central Sector,Total,Hydro,1990,4151,855,769.4,1275.33,89.99,60.33,2204,2598.27,3604.28,117.89,72.09,NA,NA,NA,NA,NA,NA
401,Western Region,Gujarat,Central Sector,Total,Gujarat,26773.41,77095,6394,9377.26,5909.08,146.66,158.69,38809,45651.37,35518.15,117.63,128.53,NA,NA,NA,NA,NA,NA
402,Western Region,Madhya Pradesh,State Sector,AMARKANTAK EXT TPS,NA,210,1650,130,149.49,0,114.99,0,825,889.23,646.52,107.79,137.54,85.98,98.87,0,89.45,96.41,70.1
403,Western Region,Madhya Pradesh,State Sector,SANJAY GANDHI TPS,NA,1340,8550,355,496.4,657.79,139.83,75.46,3818,3968,4112.33,103.93,96.49,36.8,51.45,68.18,64.87,67.42,69.87
404,Western Region,Madhya Pradesh,State Sector,SATPURA TPS,NA,1330,3750,320,317.45,166.44,99.2,190.73,1783,1817.51,1906.57,101.94,95.33,33.42,33.15,17.38,30.52,31.11,32.64
405,Western Region,Madhya Pradesh,State Sector,SHREE SINGAJI TPP,NA,2520,13700,1150,1054.24,707.76,91.67,148.95,6595,6732.62,6116.15,102.09,110.08,63.38,58.1,39.01,59.59,60.83,55.26
406,Western Region,Madhya Pradesh,State Sector,MPPGCL,Coal,5400,27650,1955,2017.58,1531.99,103.2,131.7,13021,13407.36,12781.57,102.97,104.9,50.28,51.89,39.4,54.9,56.53,53.89
407,Western Region,Madhya Pradesh,State Sector,State Sector,Thermal,5400,27650,1955,2017.58,1531.99,103.2,131.7,13021,13407.36,12781.57,102.97,104.9,50.28,51.89,39.4,54.9,56.53,53.89
408,Western Region,Madhya Pradesh,State Sector,BANSAGAR-II HPS,NA,30,90,10,8.98,4.04,89.8,222.33,42,41.34,24.49,98.43,168.8,NA,NA,NA,NA,NA,NA
409,Western Region,Madhya Pradesh,State Sector,BANSAGAR-III HPS,NA,60,98,26,26.52,8.63,102,307.3,58,121.25,89.88,209.05,134.9,NA,NA,NA,NA,NA,NA
410,Western Region,Madhya Pradesh,State Sector,BANSAGAR TONS-I HPS,NA,315,1000,110,98.44,65.75,89.49,149.72,480,348.59,315.15,72.62,110.61,NA,NA,NA,NA,NA,NA
411,Western Region,Madhya Pradesh,State Sector,BARGI HPS,NA,90,420,45,54.24,60.73,120.53,89.31,205,254.91,217.88,124.35,117,NA,NA,NA,NA,NA,NA
412,Western Region,Madhya Pradesh,State Sector,GANDHI SAGAR HPS,NA,115,270,30,18.44,34.85,61.47,52.91,95,98.71,70.36,103.91,140.29,NA,NA,NA,NA,NA,NA
413,Western Region,Madhya Pradesh,State Sector,MADHIKHERA HPS,NA,60,116,15,8.89,35.53,59.27,25.02,50,24.97,94.36,49.94,26.46,NA,NA,NA,NA,NA,NA
414,Western Region,Madhya Pradesh,State Sector,RAJGHAT HPS,NA,45,88,12,15.45,21.73,128.76,71.1,34,51.73,66.28,152.15,78.05,NA,NA,NA,NA,NA,NA
415,Western Region,Madhya Pradesh,State Sector,MPPGCL,Hydro,715,2082,248,230.96,231.26,93.13,99.87,964,941.5,878.4,97.67,107.18,NA,NA,NA,NA,NA,NA
416,Western Region,Madhya Pradesh,State Sector,State Sector,Hydro,715,2082,248,230.96,231.26,93.13,99.87,964,941.5,878.4,97.67,107.18,NA,NA,NA,NA,NA,NA
417,Western Region,Madhya Pradesh,Pvt Sector,NIWARI TPP,NA,90,600,50,47.02,23.32,94.04,201.63,292,273.88,106.07,93.79,258.21,77.16,72.56,35.99,73.87,69.29,26.83
418,Western Region,Madhya Pradesh,Pvt Sector,BLAPPL,Coal,90,600,50,47.02,23.32,94.04,201.63,292,273.88,106.07,93.79,258.21,77.16,72.56,35.99,73.87,69.29,26.83
419,Western Region,Madhya Pradesh,Pvt Sector,MAHAN TPP,NA,1200,6000,491,342.96,302.58,69.85,113.35,2948,3108.88,1926.27,105.46,161.39,56.83,39.69,35.02,55.94,58.99,36.55
420,Western Region,Madhya Pradesh,Pvt Sector,ESSARPMPL,Coal,1200,6000,491,342.96,302.58,69.85,113.35,2948,3108.88,1926.27,105.46,161.39,56.83,39.69,35.02,55.94,58.99,36.55
421,Western Region,Madhya Pradesh,Pvt Sector,BINA TPS,NA,500,3350,253,243.17,222.83,96.11,109.13,1603,1511.26,1508.64,94.28,100.17,70.28,67.55,61.9,73,68.82,68.7
422,Western Region,Madhya Pradesh,Pvt Sector,NIGRI TPP,NA,1320,9100,753,722.93,756.81,96.01,95.52,4456,4708.81,4929.3,105.67,95.53,79.23,76.07,79.63,76.86,81.22,85.03
423,Western Region,Madhya Pradesh,Pvt Sector,JPPVL,Coal,1820,12450,1006,966.1,979.64,96.03,98.62,6059,6220.07,6437.94,102.66,96.62,76.77,73.73,74.76,75.8,77.81,80.54
424,Western Region,Madhya Pradesh,Pvt Sector,ANUPPUR TPP,NA,1250,8000,658,790.86,576.21,120.19,137.25,4218,4584.15,3986.73,108.68,114.99,76.16,87.87,64.02,80.03,83.5,72.62
425,Western Region,Madhya Pradesh,Pvt Sector,MBPMPL,Coal,1250,8000,658,790.86,576.21,120.19,137.25,4218,4584.15,3986.73,108.68,114.99,76.16,87.87,64.02,80.03,83.5,72.62
426,Western Region,Madhya Pradesh,Pvt Sector,SASAN UMTPP,NA,3960,32400,2268,2586.98,2301.31,114.06,112.41,15730,15761.97,15765.34,100.2,99.98,79.55,90.73,80.71,90.44,90.63,90.65
427,Western Region,Madhya Pradesh,Pvt Sector,SPL,Coal,3960,32400,2268,2586.98,2301.31,114.06,112.41,15730,15761.97,15765.34,100.2,99.98,79.55,90.73,80.71,90.44,90.63,90.65
428,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Thermal,8320,59450,4473,4733.92,4183.06,105.83,113.17,29247,29948.95,28222.35,102.4,106.12,75.11,79.03,69.83,80.56,81.96,77.23
429,Western Region,Madhya Pradesh,Pvt Sector,MAHESHWAR HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
430,Western Region,Madhya Pradesh,Pvt Sector,SMHPCL,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
431,Western Region,Madhya Pradesh,Pvt Sector,Pvt Sector,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
432,Western Region,Madhya Pradesh,Central Sector,SEIONI TPP,NA,600,3800,305,316.4,295.5,103.74,107.07,2042,1779.03,1983.04,87.12,89.71,70.6,73.24,68.4,77.49,67.51,75.25
433,Western Region,Madhya Pradesh,Central Sector,JHAPL,Coal,600,3800,305,316.4,295.5,103.74,107.07,2042,1779.03,1983.04,87.12,89.71,70.6,73.24,68.4,77.49,67.51,75.25
434,Western Region,Madhya Pradesh,Central Sector,GADARWARA TPP,NA,1600,10500,737,979.61,765.65,132.92,127.94,6067,4756.54,5140.67,78.4,92.53,63.98,85.04,66.46,86.34,67.69,73.15
435,Western Region,Madhya Pradesh,Central Sector,KHARGONE STPP,NA,1320,8500,739,684.37,397.43,92.61,172.2,4392,3347.67,2956.51,76.22,113.23,77.76,72.01,41.82,75.76,57.74,51
436,Western Region,Madhya Pradesh,Central Sector,VINDHYACHAL STPS,NA,4760,38500,3138,2924.67,2872.04,93.2,101.83,18870,18357.26,18466.23,97.28,99.41,91.56,85.34,83.8,90.26,87.81,88.33
437,Western Region,Madhya Pradesh,Central Sector,NTPC Ltd.,Coal,7680,57500,4614,4588.65,4035.12,99.45,113.72,29329,26461.47,26563.41,90.22,99.62,83.44,82.98,72.97,86.95,78.45,78.75
438,Western Region,Madhya Pradesh,Central Sector,CENTRAL,Thermal,8280,61300,4919,4905.05,4330.62,99.72,113.26,31371,28240.5,28546.45,90.02,98.93,82.51,82.28,72.64,86.27,77.66,78.5
439,Western Region,Madhya Pradesh,Central Sector,INDIRA SAGAR HPS,NA,1000,2150,395,466.45,769.73,118.09,60.6,1202,1909.84,2147.5,158.89,88.93,NA,NA,NA,NA,NA,NA
440,Western Region,Madhya Pradesh,Central Sector,OMKARESHWAR HPS,NA,520,1115,191,207.26,377.75,108.51,54.87,600,948.49,1040.22,158.08,91.18,NA,NA,NA,NA,NA,NA
441,Western Region,Madhya Pradesh,Central Sector,NHDC,Hydro,1520,3265,586,673.71,1147.48,114.97,58.71,1802,2858.33,3187.72,158.62,89.67,NA,NA,NA,NA,NA,NA
442,Western Region,Madhya Pradesh,Central Sector,Central,Hydro,1520,3265,586,673.71,1147.48,114.97,58.71,1802,2858.33,3187.72,158.62,89.67,NA,NA,NA,NA,NA,NA
443,Western Region,Madhya Pradesh,Central Sector,Total,Thermal,22000,148400,11347,11656.55,10045.67,102.73,116.04,73639,71596.81,69550.37,97.23,102.94,71.79,73.59,63.42,76.39,74.1,71.98
444,Western Region,Madhya Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
445,Western Region,Madhya Pradesh,Central Sector,Total,Hydro,2235,5347,834,904.67,1378.74,108.47,65.62,2766,3799.83,4066.12,137.38,93.45,NA,NA,NA,NA,NA,NA
446,Western Region,Madhya Pradesh,Central Sector,Total,Madhya Pradesh,24235,153747,12181,12561.22,11424.41,103.12,109.95,76405,75396.64,73616.49,98.68,102.42,NA,NA,NA,NA,NA,NA
447,Western Region,Maharashtra,State Sector,BHUSAWAL TPS,NA,1210,8600,732,586.13,403.17,80.07,145.38,4024,3946.67,3151.87,98.08,125.22,65.66,67.28,46.28,66.69,74.26,59.31
448,Western Region,Maharashtra,State Sector,CHANDRAPUR (MAHARASHTRA) STPS,NA,2920,18600,1524,973.42,1021.55,63.87,95.29,8858,7782.54,7615.86,87.86,102.19,72.49,46.3,48.59,69.07,60.68,59.38
449,Western Region,Maharashtra,State Sector,KHAPARKHEDA TPS,NA,1340,7500,621,579.69,560.32,93.35,103.46,3737,3940.29,3824.56,105.44,103.03,64.37,60.08,58.08,63.5,66.95,64.99
450,Western Region,Maharashtra,State Sector,KORADI TPS,NA,2190,11650,984,816.77,720.96,83,113.29,5569,5729.7,5547.19,102.89,103.29,62.4,51.8,45.72,57.9,59.57,57.67
451,Western Region,Maharashtra,State Sector,NASIK TPS,NA,630,3000,242,238.83,181.78,98.69,131.38,1508,1383.23,1363.22,91.73,101.47,53.35,52.65,40.07,54.5,49.99,49.27
452,Western Region,Maharashtra,State Sector,PARAS TPS,NA,500,3200,142,268.29,221.3,188.94,121.23,1583,1640.81,1525.8,103.65,107.54,39.44,74.53,61.47,72.09,74.72,69.48
453,Western Region,Maharashtra,State Sector,PARLI TPS,NA,750,3600,292,368.64,349.78,126.25,105.39,1879,1956.94,2040.27,104.15,95.92,54.07,68.27,64.77,57.04,59.41,61.94
454,Western Region,Maharashtra,State Sector,MAHAGENCO,Coal,9540,56150,4537,3831.77,3458.86,84.46,110.78,27158,26380.18,25068.77,97.14,105.23,63.72,55.79,50.36,63.67,62.96,59.83
455,Western Region,Maharashtra,State Sector,State Sector,Thermal,9540,56150,4537,3831.77,3458.86,84.46,110.78,27158,26380.18,25068.77,97.14,105.23,63.72,55.79,50.36,63.67,62.96,59.83
456,Western Region,Maharashtra,State Sector,URAN CCPP,NA,672,2100,162,158.72,75.51,97.98,210.2,1105,611.98,829.44,55.38,73.78,NA,NA,NA,NA,NA,NA
457,Western Region,Maharashtra,State Sector,MAHAGENCO,Natural Gas,672,2100,162,158.72,75.51,97.98,210.2,1105,611.98,829.44,55.38,73.78,NA,NA,NA,NA,NA,NA
458,Western Region,Maharashtra,State Sector,State Sector,Natural Gas,672,2100,162,158.72,75.51,97.98,210.2,1105,611.98,829.44,55.38,73.78,NA,NA,NA,NA,NA,NA
459,Western Region,Maharashtra,State Sector,BHIRA TAIL RACE HPS,NA,80,85,9,10.83,11.41,120.33,94.92,48,64.66,56.63,134.71,114.18,NA,NA,NA,NA,NA,NA
460,Western Region,Maharashtra,State Sector,GHATGHAR PSS HPS,NA,250,384,35,6.71,6.13,19.17,109.46,211,25.72,34.79,12.19,73.93,NA,NA,NA,NA,NA,NA
461,Western Region,Maharashtra,State Sector,KOYNA DPH HPS,NA,36,130,10,7.03,7.61,70.3,92.38,73,74.41,81.99,101.93,90.75,NA,NA,NA,NA,NA,NA
462,Western Region,Maharashtra,State Sector,KOYNA-I&II HPS,NA,600,800,41,70.42,65.54,171.76,107.45,425,598.35,656.75,140.79,91.11,NA,NA,NA,NA,NA,NA
463,Western Region,Maharashtra,State Sector,KOYNA-III HPS,NA,320,568,39,38.51,31.06,98.74,123.99,301,365.9,588.6,121.56,62.16,NA,NA,NA,NA,NA,NA
464,Western Region,Maharashtra,State Sector,KOYNA-IV HPS,NA,1000,1667,135,86.37,54.14,63.98,159.53,777,926.5,656.31,119.24,141.17,NA,NA,NA,NA,NA,NA
465,Western Region,Maharashtra,State Sector,TILLARI HPS,NA,60,110,5,1.43,12.89,28.6,11.09,55,20.47,76.54,37.22,26.74,NA,NA,NA,NA,NA,NA
466,Western Region,Maharashtra,State Sector,VAITARNA HPS,NA,60,144,0,5.9,19.46,0,30.32,66,107.06,106.16,162.21,100.85,NA,NA,NA,NA,NA,NA
467,Western Region,Maharashtra,State Sector,MAHAGENCO,Hydro,2406,3888,274,227.2,208.24,82.92,109.1,1956,2183.07,2257.77,111.61,96.69,NA,NA,NA,NA,NA,NA
468,Western Region,Maharashtra,State Sector,PENCH HPS,NA,160,325,65,81.08,47.07,124.74,172.25,153,187.44,175.15,122.51,107.02,NA,NA,NA,NA,NA,NA
469,Western Region,Maharashtra,State Sector,MPPGCL,Hydro,160,325,65,81.08,47.07,124.74,172.25,153,187.44,175.15,122.51,107.02,NA,NA,NA,NA,NA,NA
470,Western Region,Maharashtra,State Sector,State Sector,Hydro,2566,4213,339,308.28,255.31,90.94,120.75,2109,2370.51,2432.92,112.4,97.43,NA,NA,NA,NA,NA,NA
471,Western Region,Maharashtra,Pvt Sector,DAHANU TPS,NA,500,3800,324,280.97,269.77,86.72,104.15,1995,1703.6,1757.1,85.39,96.96,90,78.05,74.94,90.85,77.58,80.01
472,Western Region,Maharashtra,Pvt Sector,AEML,Coal,500,3800,324,280.97,269.77,86.72,104.15,1995,1703.6,1757.1,85.39,96.96,90,78.05,74.94,90.85,77.58,80.01
473,Western Region,Maharashtra,Pvt Sector,MIHAN TPS,NA,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Western Region,Maharashtra,Pvt Sector,AMNEPL,Coal,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,Western Region,Maharashtra,Pvt Sector,TIRORA TPS,NA,3300,23800,1865,1782.55,1881.55,95.58,94.74,11773,10931.31,11141.11,92.85,98.12,78.49,75.02,79.19,81.23,75.42,76.87
476,Western Region,Maharashtra,Pvt Sector,APL,Coal,3300,23800,1865,1782.55,1881.55,95.58,94.74,11773,10931.31,11141.11,92.85,98.12,78.49,75.02,79.19,81.23,75.42,76.87
477,Western Region,Maharashtra,Pvt Sector,DHARIWAL TPP,NA,600,3700,314,395.47,353.8,125.95,111.78,2051,2387.53,2121.42,116.41,112.54,72.69,91.54,81.9,77.83,90.6,80.5
478,Western Region,Maharashtra,Pvt Sector,DIL,Coal,600,3700,314,395.47,353.8,125.95,111.78,2051,2387.53,2121.42,116.41,112.54,72.69,91.54,81.9,77.83,90.6,80.5
479,Western Region,Maharashtra,Pvt Sector,GEPL TPP Ph-I,NA,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Western Region,Maharashtra,Pvt Sector,GEPL,Coal,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Western Region,Maharashtra,Pvt Sector,GMR WARORA TPS,NA,600,4200,368,339.42,305.23,92.23,111.2,2109,2179.7,1962.46,103.35,111.07,85.19,78.57,70.66,80.03,82.71,74.47
482,Western Region,Maharashtra,Pvt Sector,GMR ENERG,Coal,600,4200,368,339.42,305.23,92.23,111.2,2109,2179.7,1962.46,103.35,111.07,85.19,78.57,70.66,80.03,82.71,74.47
483,Western Region,Maharashtra,Pvt Sector,BELA TPS,NA,270,1000,78,163.2,0,209.23,0,533,867.11,0,162.68,0,40.12,83.95,0,44.95,73.12,0
484,Western Region,Maharashtra,Pvt Sector,IEPL,Coal,270,1000,78,163.2,0,209.23,0,533,867.11,0,162.68,0,40.12,83.95,0,44.95,73.12,0
485,Western Region,Maharashtra,Pvt Sector,JSW RATNAGIRI TPP,NA,300,1000,82,164.45,138.13,200.55,119.05,556,928.25,169.11,166.95,548.9,37.96,76.13,63.95,42.2,70.45,12.83
486,Western Region,Maharashtra,Pvt Sector,JSWEL,Coal,300,1000,82,164.45,138.13,200.55,119.05,556,928.25,169.11,166.95,548.9,37.96,76.13,63.95,42.2,70.45,12.83
487,Western Region,Maharashtra,Pvt Sector,LANCO VIDARBHA TPP,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Western Region,Maharashtra,Pvt Sector,LVTPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Western Region,Maharashtra,Pvt Sector,AMRAVATI TPS,NA,1350,8550,550,737.33,532.19,134.06,138.55,4097,4770.29,4152.8,116.43,114.87,56.58,75.86,54.75,69.1,80.45,70.04
490,Western Region,Maharashtra,Pvt Sector,RATTANINDIA,Coal,1350,8550,550,737.33,532.19,134.06,138.55,4097,4770.29,4152.8,116.43,114.87,56.58,75.86,54.75,69.1,80.45,70.04
491,Western Region,Maharashtra,Pvt Sector,SHIRPUR TPP,NA,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Western Region,Maharashtra,Pvt Sector,SPPL,Coal,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,Western Region,Maharashtra,Pvt Sector,NASIK (P) TPS,NA,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Western Region,Maharashtra,Pvt Sector,STPL,Coal,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,Western Region,Maharashtra,Pvt Sector,TROMBAY TPS,NA,750,3700,299,360.2,333.41,120.47,108.04,1992,2093.89,2337.48,105.11,89.58,55.37,66.7,61.74,60.47,63.57,70.96
496,Western Region,Maharashtra,Pvt Sector,TATA PCL,Coal,750,3700,299,360.2,333.41,120.47,108.04,1992,2093.89,2337.48,105.11,89.58,55.37,66.7,61.74,60.47,63.57,70.96
497,Western Region,Maharashtra,Pvt Sector,BUTIBORI TPP,NA,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Western Region,Maharashtra,Pvt Sector,VIP,Coal,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Western Region,Maharashtra,Pvt Sector,WARDHA WARORA TPP,NA,540,2600,195,346.16,153.41,177.52,225.64,1339,1885.48,1306.59,140.81,144.31,50.15,89.03,39.46,56.46,79.5,55.09
500,Western Region,Maharashtra,Pvt Sector,WPCL,Coal,540,2600,195,346.16,153.41,177.52,225.64,1339,1885.48,1306.59,140.81,144.31,50.15,89.03,39.46,56.46,79.5,55.09
501,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Thermal,10676,52350,4075,4569.75,3967.49,112.14,115.18,26445,27747.16,24948.07,104.92,111.22,53.01,59.45,51.61,56.4,59.18,53.21
502,Western Region,Maharashtra,Pvt Sector,MANGAON CCPP,NA,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
503,Western Region,Maharashtra,Pvt Sector,PGPL,Natural Gas,388,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
504,Western Region,Maharashtra,Pvt Sector,TROMBAY CCPP,NA,180,500,40,68.94,27.25,172.35,252.99,263,486.2,285.52,184.87,170.29,NA,NA,NA,NA,NA,NA
505,Western Region,Maharashtra,Pvt Sector,TATA PCL,Natural Gas,180,500,40,68.94,27.25,172.35,252.99,263,486.2,285.52,184.87,170.29,NA,NA,NA,NA,NA,NA
506,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Natural Gas,568,500,40,68.94,27.25,172.35,252.99,263,486.2,285.52,184.87,170.29,NA,NA,NA,NA,NA,NA
507,Western Region,Maharashtra,Pvt Sector,BHANDARDHARA HPS ST-II,NA,34,36,0,0,0,0,0,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
508,Western Region,Maharashtra,Pvt Sector,DLHP,Hydro,34,36,0,0,0,0,0,23,19.25,16.34,83.7,117.81,NA,NA,NA,NA,NA,NA
509,Western Region,Maharashtra,Pvt Sector,BHIRA HPS,NA,150,452,43,44.76,47.6,104.09,94.03,249,270.93,232.85,108.81,116.35,NA,NA,NA,NA,NA,NA
510,Western Region,Maharashtra,Pvt Sector,BHIRA PSS HPS,NA,150,448,42,49.45,60.88,117.74,81.23,248,339.01,335.69,136.7,100.99,NA,NA,NA,NA,NA,NA
511,Western Region,Maharashtra,Pvt Sector,BHIVPURI HPS,NA,75,285,10,3.96,18.04,39.6,21.95,114,117.33,140.42,102.92,83.56,NA,NA,NA,NA,NA,NA
512,Western Region,Maharashtra,Pvt Sector,KHOPOLI HPS,NA,72,285,22,16.89,23.28,76.77,72.55,160,159.87,185.23,99.92,86.31,NA,NA,NA,NA,NA,NA
513,Western Region,Maharashtra,Pvt Sector,TATA MAH.,Hydro,447,1470,117,115.06,149.8,98.34,76.81,771,887.14,894.19,115.06,99.21,NA,NA,NA,NA,NA,NA
514,Western Region,Maharashtra,Pvt Sector,Pvt Sector,Hydro,481,1506,117,115.06,149.8,98.34,76.81,794,906.39,910.53,114.15,99.55,NA,NA,NA,NA,NA,NA
515,Western Region,Maharashtra,Central Sector,MAUDA TPS,NA,2320,15600,1308,1282.95,1270.45,98.08,100.98,8580,7588.85,7432.76,88.45,102.1,78.3,76.8,76.06,84.2,74.48,72.95
516,Western Region,Maharashtra,Central Sector,SOLAPUR STPS,NA,1320,6900,560,693.73,397.73,123.88,174.42,3464,3536.15,3031.91,102.08,116.63,58.92,72.99,41.85,59.75,61,52.3
517,Western Region,Maharashtra,Central Sector,NTPC Ltd.,Coal,3640,22500,1868,1976.68,1668.18,105.82,118.49,12044,11125,10464.67,92.37,106.31,71.28,75.42,63.65,75.34,69.59,65.46
518,Western Region,Maharashtra,Central Sector,Central,Thermal,3640,22500,1868,1976.68,1668.18,105.82,118.49,12044,11125,10464.67,92.37,106.31,71.28,75.42,63.65,75.34,69.59,65.46
519,Western Region,Maharashtra,Central Sector,RATNAGIRI CCPP,NA,1967.08,1050,67,82.99,0,123.87,0,495,727.9,302.88,147.05,240.33,NA,NA,NA,NA,NA,NA
520,Western Region,Maharashtra,Central Sector,RGPPL,Natural Gas,1967.08,1050,67,82.99,0,123.87,0,495,727.9,302.88,147.05,240.33,NA,NA,NA,NA,NA,NA
521,Western Region,Maharashtra,Central Sector,CENTRAL,Natural Gas,1967.08,1050,67,82.99,0,123.87,0,495,727.9,302.88,147.05,240.33,NA,NA,NA,NA,NA,NA
522,Western Region,Maharashtra,Central Sector,TARAPUR,NA,1400,8151,741,782.89,780.81,105.65,100.27,3820,4172.79,4659.91,109.24,89.55,73.51,77.67,77.46,62.13,67.86,75.79
523,Western Region,Maharashtra,Central Sector,NPCIL,Nuclear,1400,8151,741,782.89,780.81,105.65,100.27,3820,4172.79,4659.91,109.24,89.55,73.51,77.67,77.46,62.13,67.86,75.79
524,Western Region,Maharashtra,Central Sector,Central,Nuclear,1400,8151,741,782.89,780.81,105.65,100.27,3820,4172.79,4659.91,109.24,89.55,73.51,77.67,77.46,62.13,67.86,75.79
525,Western Region,Maharashtra,Central Sector,Total,Thermal,23856,131000,10480,10378.2,9094.53,99.03,114.11,65647,65252.34,60481.51,99.4,107.89,60.08,60.42,52.95,62.2,62.28,57.72
526,Western Region,Maharashtra,Central Sector,Total,Nuclear,1400,8151,741,782.89,780.81,105.65,100.27,3820,4172.79,4659.91,109.24,89.55,73.51,77.67,77.46,62.13,67.86,75.79
527,Western Region,Maharashtra,Central Sector,Total,Natural Gas,3207.08,3650,269,310.65,102.76,115.48,302.31,1863,1826.08,1417.84,98.02,128.79,NA,NA,NA,NA,NA,NA
528,Western Region,Maharashtra,Central Sector,Total,Hydro,3047,5719,456,423.34,405.11,92.84,104.5,2903,3276.9,3343.45,112.88,98.01,NA,NA,NA,NA,NA,NA
529,Western Region,Maharashtra,Central Sector,Total,Maharashtra,31510.08,148520,11946,11895.08,10383.21,99.57,114.56,74233,74528.11,69902.71,100.4,106.62,NA,NA,NA,NA,NA,NA
530,Southern Region,Andhra Pradesh,State Sector,Dr. N.TATA RAO TPS,NA,1760,13500,1159,862.95,803.68,74.46,107.37,6555,5887.58,5495.1,89.82,107.14,62.88,68.1,63.42,58.3,76.17,71.09
531,Southern Region,Andhra Pradesh,State Sector,RAYALASEEMA TPS,NA,1650,9500,674,805.13,666.82,119.46,120.74,4842,5183.97,4476.18,107.06,115.81,56.73,67.77,56.13,66.82,71.53,61.77
532,Southern Region,Andhra Pradesh,State Sector,APGENCO,Coal,3410,23000,1833,1668.08,1470.5,91,113.44,11397,11071.55,9971.28,97.14,111.03,60.47,67.94,59.89,61.64,73.93,66.58
533,Southern Region,Andhra Pradesh,State Sector,DAMODARAM SANJEEVAIAH TPS,NA,2400,9000,751,499.32,595.84,66.49,83.8,5060,5133.05,3084.7,101.44,166.4,43.46,40.31,51.72,48,51.66,43.9
534,Southern Region,Andhra Pradesh,State Sector,APPDCL,Coal,2400,9000,751,499.32,595.84,66.49,83.8,5060,5133.05,3084.7,101.44,166.4,43.46,40.31,51.72,48,51.66,43.9
535,Southern Region,Andhra Pradesh,State Sector,State Sector,Thermal,5810,32000,2584,2167.4,2066.34,83.88,104.89,16457,16204.6,13055.98,98.47,124.12,54.29,59.12,57.28,56.69,66.82,59.33
536,Southern Region,Andhra Pradesh,State Sector,JEGURUPADU CCPP PH I,NA,235.4,200,16,0,39.32,0,0,104,0,236.89,0,0,NA,NA,NA,NA,NA,NA
537,Southern Region,Andhra Pradesh,State Sector,APEPDCL,Natural Gas,235.4,200,16,0,39.32,0,0,104,0,236.89,0,0,NA,NA,NA,NA,NA,NA
