Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),September` 2023 - Program - Col (3),September` 2023 - Actual - Col (4),September` 2023 - Actual Same Month 2022-23 - Col (5),September` 2023 - % of Program Col. (4/3) - Col (6),September` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to September` 2023 - Program - Col (8),April` 2023 to September` 2023 - Actual - Col (9),April` 2023 to September` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to September` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to September` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - September` 2023 - Program - Col (13),Plant Load Factor (%) - September` 2023 - Actual - Col (14),Plant Load Factor (%) - September` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to September` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to September` 2023 - Actual Same Peroid 2022-23 - Col (18)
69,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-II HPS,NA,300,1433,144,161.14,163.72,111.9,98.42,1109,928.74,1032.47,83.75,89.95,NA,NA,NA,NA,NA,NA
70,Northern Region,Himachal Pradesh,Central Sector,CHAMERA-III HPS,NA,231,1063,114,99.31,124.1,87.11,80.02,822,728.66,786.05,88.64,92.7,NA,NA,NA,NA,NA,NA
71,Northern Region,Himachal Pradesh,Central Sector,PARBATI-II HPS,NA,0,285,0,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA
72,Northern Region,Himachal Pradesh,Central Sector,PARBATI-III HPS,NA,520,809,72,6.51,80.92,9.04,8.04,554,230.26,542.08,41.56,42.48,NA,NA,NA,NA,NA,NA
73,Northern Region,Himachal Pradesh,Central Sector,NHPC,Hydro,1771,6506,627,490.18,658.84,78.18,74.4,4739,4016.97,4269.67,84.76,94.08,NA,NA,NA,NA,NA,NA
74,Northern Region,Himachal Pradesh,Central Sector,KOLDAM,NA,800,3100,360,389.06,449.47,108.07,86.56,2539,2337.59,2459.61,92.07,95.04,NA,NA,NA,NA,NA,NA
75,Northern Region,Himachal Pradesh,Central Sector,NTPC Ltd.,Hydro,800,3100,360,389.06,449.47,108.07,86.56,2539,2337.59,2459.61,92.07,95.04,NA,NA,NA,NA,NA,NA
76,Northern Region,Himachal Pradesh,Central Sector,NATHPA JHAKRI HPS,NA,1500,6925,956,944.82,1038.72,98.83,90.96,5286,4802.76,5440.82,90.86,88.27,NA,NA,NA,NA,NA,NA
77,Northern Region,Himachal Pradesh,Central Sector,RAMPUR HPS,NA,412.02,1940,268,267.49,290.41,99.81,92.11,1482,1345.73,1514.25,90.8,88.87,NA,NA,NA,NA,NA,NA
78,Northern Region,Himachal Pradesh,Central Sector,SJVNL,Hydro,1912.02,8865,1224,1212.31,1329.13,99.04,91.21,6768,6148.49,6955.07,90.85,88.4,NA,NA,NA,NA,NA,NA
79,Northern Region,Himachal Pradesh,Central Sector,Central,Hydro,7266.02,27171,3372,3392.36,3673.95,100.6,92.34,19603,18871.24,19240.92,96.27,98.08,NA,NA,NA,NA,NA,NA
80,Northern Region,Himachal Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
81,Northern Region,Himachal Pradesh,Central Sector,Total,Hydro,10263.02,38524,4798,4733.81,5268.02,98.66,89.86,28469,26718.14,28012.45,93.85,95.38,NA,NA,NA,NA,NA,NA
82,Northern Region,Himachal Pradesh,Central Sector,Total,Himachal Pradesh,10263.02,38524,4798,4733.81,5268.02,98.66,89.86,28469,26718.14,28012.45,93.85,95.38,NA,NA,NA,NA,NA,NA
83,Northern Region,Jammu and Kashmir,State Sector,PAMPORE GPS (Liq.),NA,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
84,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
85,Northern Region,Jammu and Kashmir,State Sector,State Sector,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
86,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR HPS,NA,450,2751,304,323.98,321.57,106.57,100.75,1841,1763.29,1846.31,95.78,95.5,NA,NA,NA,NA,NA,NA
87,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR II HPS,NA,450,1700,115,256.05,252.88,222.65,101.25,1700,1512.34,1453.79,88.96,104.03,NA,NA,NA,NA,NA,NA
88,Northern Region,Jammu and Kashmir,State Sector,LOWER JHELUM HPS,NA,105,650,50,31.53,46.17,63.06,68.29,395,328.34,375.08,83.12,87.54,NA,NA,NA,NA,NA,NA
89,Northern Region,Jammu and Kashmir,State Sector,UPPER SINDH-II HPS,NA,105,450,37,2.65,22.24,7.16,11.92,368,103.14,204.82,28.03,50.36,NA,NA,NA,NA,NA,NA
90,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Hydro,1110,5551,506,614.21,642.86,121.39,95.54,4304,3707.11,3880,86.13,95.54,NA,NA,NA,NA,NA,NA
91,Northern Region,Jammu and Kashmir,State Sector,State Sector,Hydro,1110,5551,506,614.21,642.86,121.39,95.54,4304,3707.11,3880,86.13,95.54,NA,NA,NA,NA,NA,NA
92,Northern Region,Jammu and Kashmir,Central Sector,DULHASTI HPS,NA,390,2267,270,280.18,274.53,103.77,102.06,1591,1423.8,1552.24,89.49,91.73,NA,NA,NA,NA,NA,NA
93,Northern Region,Jammu and Kashmir,Central Sector,KISHANGANGA HPS,NA,330,1712,155,100.62,87.34,64.92,115.2,1271,1095.82,1193.47,86.22,91.82,NA,NA,NA,NA,NA,NA
94,Northern Region,Jammu and Kashmir,Central Sector,SALAL HPS,NA,690,3503,472,453.65,450.47,96.11,100.71,2666,2641.99,2544.55,99.1,103.83,NA,NA,NA,NA,NA,NA
95,Northern Region,Jammu and Kashmir,Central Sector,SEWA-II HPS,NA,120,507,38,17.45,36.14,45.92,48.28,369,385.6,316.12,104.5,121.98,NA,NA,NA,NA,NA,NA
96,Northern Region,Jammu and Kashmir,Central Sector,URI-I HPS,NA,480,2821,229,137.81,223.88,60.18,61.56,1859,1735.53,1900.74,93.36,91.31,NA,NA,NA,NA,NA,NA
97,Northern Region,Jammu and Kashmir,Central Sector,URI-II HPS,NA,240,1623,131,81.66,127.2,62.34,64.2,967,925.51,992.23,95.71,93.28,NA,NA,NA,NA,NA,NA
98,Northern Region,Jammu and Kashmir,Central Sector,NHPC,Hydro,2250,12433,1295,1071.37,1199.56,82.73,89.31,8723,8208.25,8499.35,94.1,96.58,NA,NA,NA,NA,NA,NA
99,Northern Region,Jammu and Kashmir,Central Sector,Central,Hydro,2250,12433,1295,1071.37,1199.56,82.73,89.31,8723,8208.25,8499.35,94.1,96.58,NA,NA,NA,NA,NA,NA
100,Northern Region,Jammu and Kashmir,Central Sector,Total,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
101,Northern Region,Jammu and Kashmir,Central Sector,Total,Hydro,3360,17984,1801,1685.58,1842.42,93.59,91.49,13027,11915.36,12379.35,91.47,96.25,NA,NA,NA,NA,NA,NA
102,Northern Region,Jammu and Kashmir,Central Sector,Total,Jammu and Kashmir,3535,17984,1801,1685.58,1842.42,93.59,91.49,13027,11915.36,12379.35,91.47,96.25,NA,NA,NA,NA,NA,NA
103,Northern Region,Ladakh,Central Sector,CHUTAK HPS,NA,44,204,26,27.9,22.84,107.31,122.15,148,128.18,134.83,86.61,95.07,NA,NA,NA,NA,NA,NA
104,Northern Region,Ladakh,Central Sector,NIMMO BAZGO HPS,NA,45,226,30,32.14,31.75,107.13,101.23,156,149.55,157.19,95.87,95.14,NA,NA,NA,NA,NA,NA
105,Northern Region,Ladakh,Central Sector,NHPC,Hydro,89,430,56,60.04,54.59,107.21,109.98,304,277.73,292.02,91.36,95.11,NA,NA,NA,NA,NA,NA
106,Northern Region,Ladakh,Central Sector,Central,Hydro,89,430,56,60.04,54.59,107.21,109.98,304,277.73,292.02,91.36,95.11,NA,NA,NA,NA,NA,NA
107,Northern Region,Ladakh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
108,Northern Region,Ladakh,Central Sector,Total,Hydro,89,430,56,60.04,54.59,107.21,109.98,304,277.73,292.02,91.36,95.11,NA,NA,NA,NA,NA,NA
109,Northern Region,Ladakh,Central Sector,Total,Ladakh,89,430,56,60.04,54.59,107.21,109.98,304,277.73,292.02,91.36,95.11,NA,NA,NA,NA,NA,NA
110,Northern Region,Punjab,State Sector,GH TPS (LEH. MOH.),NA,920,3150,264,382.94,294.05,145.05,130.23,1761,2191.89,1942.88,124.47,112.82,39.86,57.81,44.39,43.58,54.25,48.08
111,Northern Region,Punjab,State Sector,ROPAR TPS,NA,840,3200,253,289.1,271.03,114.27,106.67,1717,1925.74,1996.7,112.16,96.45,41.83,47.8,44.81,46.54,52.2,54.12
112,Northern Region,Punjab,State Sector,PSPCL,Coal,1760,6350,517,672.04,565.08,129.99,118.93,3478,4117.63,3939.58,118.39,104.52,40.8,53.03,44.59,44.99,53.27,50.97
113,Northern Region,Punjab,State Sector,State Sector,Thermal,1760,6350,517,672.04,565.08,129.99,118.93,3478,4117.63,3939.58,118.39,104.52,40.8,53.03,44.59,44.99,53.27,50.97
